Year,Geography,Type of charging or fuelling stations,GeoCode,Value
2024,Canada,Propane,,668
2025,Canada,Compressed natural gas,,47
2025,Canada,Electric,,14950
2025,Canada,Hydrogen,,16
2025,Canada,Propane,,685
2010,Manitoba,Total electric charging and alternative fuelling stations,46,3
2010,Manitoba,Electric,46,1
2013,Manitoba,Total electric charging and alternative fuelling stations,46,8
2013,Manitoba,Electric,46,6
2014,Manitoba,Total electric charging and alternative fuelling stations,46,9
2014,Manitoba,Electric,46,7
2015,Manitoba,Total electric charging and alternative fuelling stations,46,14
2015,Manitoba,Electric,46,12
2016,Manitoba,Total electric charging and alternative fuelling stations,46,15
2016,Manitoba,Electric,46,13
2017,Manitoba,Total electric charging and alternative fuelling stations,46,24
2017,Manitoba,Electric,46,18
2017,Manitoba,Propane,46,6
2018,Manitoba,Total electric charging and alternative fuelling stations,46,67
2018,Manitoba,Propane,46,49
2019,Manitoba,Total electric charging and alternative fuelling stations,46,77
2019,Manitoba,Electric,46,27
2019,Manitoba,Propane,46,50
2020,Manitoba,Total electric charging and alternative fuelling stations,46,82
2020,Manitoba,Electric,46,32
2021,Manitoba,Total electric charging and alternative fuelling stations,46,100
2021,Manitoba,Electric,46,50
2022,Manitoba,Total electric charging and alternative fuelling stations,46,157
2022,Manitoba,Compressed natural gas,46,1
2022,Manitoba,Electric,46,106
2023,Manitoba,Total electric charging and alternative fuelling stations,46,241
2023,Manitoba,Electric,46,190
2024,Manitoba,Total electric charging and alternative fuelling stations,46,317
2024,Manitoba,Electric,46,263
2024,Manitoba,Propane,46,53
2025,Manitoba,Total electric charging and alternative fuelling stations,46,365
2025,Manitoba,Electric,46,311
2011,New Brunswick,Total electric charging and alternative fuelling stations,13,1
2011,New Brunswick,Electric,13,1
2012,New Brunswick,Total electric charging and alternative fuelling stations,13,4
2012,New Brunswick,Electric,13,4
2013,New Brunswick,Total electric charging and alternative fuelling stations,13,8
2013,New Brunswick,Electric,13,8
2014,New Brunswick,Total electric charging and alternative fuelling stations,13,11
2014,New Brunswick,Electric,13,11
2015,New Brunswick,Total electric charging and alternative fuelling stations,13,17
2015,New Brunswick,Electric,13,17
2016,New Brunswick,Total electric charging and alternative fuelling stations,13,21
2016,New Brunswick,Electric,13,21
2017,New Brunswick,Total electric charging and alternative fuelling stations,13,42
2017,New Brunswick,Electric,13,42
2018,New Brunswick,Total electric charging and alternative fuelling stations,13,47
2018,New Brunswick,Electric,13,46
2018,New Brunswick,Propane,13,1
2019,New Brunswick,Total electric charging and alternative fuelling stations,13,64
2019,New Brunswick,Electric,13,63
2020,New Brunswick,Total electric charging and alternative fuelling stations,13,82
2020,New Brunswick,Electric,13,80
2020,New Brunswick,Propane,13,2
2021,New Brunswick,Total electric charging and alternative fuelling stations,13,104
2021,New Brunswick,Electric,13,102
2022,New Brunswick,Total electric charging and alternative fuelling stations,13,139
2022,New Brunswick,Electric,13,135
2022,New Brunswick,Propane,13,4
2023,New Brunswick,Total electric charging and alternative fuelling stations,13,211
2023,New Brunswick,Electric,13,207
2024,New Brunswick,Total electric charging and alternative fuelling stations,13,248
2024,New Brunswick,Electric,13,243
2024,New Brunswick,Propane,13,5
2025,New Brunswick,Total electric charging and alternative fuelling stations,13,283
2025,New Brunswick,Electric,13,278
2012,Newfoundland and Labrador,Total electric charging and alternative fuelling stations,10,1
2012,Newfoundland and Labrador,Electric,10,1
2013,Newfoundland and Labrador,Total electric charging and alternative fuelling stations,10,5
2013,Newfoundland and Labrador,Electric,10,5
2014,Newfoundland and Labrador,Total electric charging and alternative fuelling stations,10,7
2014,Newfoundland and Labrador,Electric,10,7
2015,Newfoundland and Labrador,Total electric charging and alternative fuelling stations,10,8
2015,Newfoundland and Labrador,Electric,10,8
2016,Newfoundland and Labrador,Total electric charging and alternative fuelling stations,10,14
2016,Newfoundland and Labrador,Electric,10,14
2018,Newfoundland and Labrador,Total electric charging and alternative fuelling stations,10,17
2018,Newfoundland and Labrador,Electric,10,17
2019,Newfoundland and Labrador,Total electric charging and alternative fuelling stations,10,18
2019,Newfoundland and Labrador,Electric,10,18
2021,Newfoundland and Labrador,Total electric charging and alternative fuelling stations,10,50
2021,Newfoundland and Labrador,Electric,10,50
2022,Newfoundland and Labrador,Total electric charging and alternative fuelling stations,10,100
2022,Newfoundland and Labrador,Electric,10,100
2023,Newfoundland and Labrador,Total electric charging and alternative fuelling stations,10,122
2023,Newfoundland and Labrador,Electric,10,121
2023,Newfoundland and Labrador,Propane,10,1
2024,Newfoundland and Labrador,Total electric charging and alternative fuelling stations,10,131
2024,Newfoundland and Labrador,Electric,10,129
2024,Newfoundland and Labrador,Propane,10,2
2025,Newfoundland and Labrador,Total electric charging and alternative fuelling stations,10,154
2025,Newfoundland and Labrador,Electric,10,152
2015,Northwest Territories,Total electric charging and alternative fuelling stations,61,1
2015,Northwest Territories,Propane,61,1
2020,Northwest Territories,Total electric charging and alternative fuelling stations,61,2
2020,Northwest Territories,Electric,61,1
2023,Northwest Territories,Total electric charging and alternative fuelling stations,61,3
2023,Northwest Territories,Electric,61,2
2024,Northwest Territories,Total electric charging and alternative fuelling stations,61,8
2024,Northwest Territories,Electric,61,7
2025,Northwest Territories,Total electric charging and alternative fuelling stations,61,14
2025,Northwest Territories,Electric,61,13
2012,Nova Scotia,Total electric charging and alternative fuelling stations,12,1
2012,Nova Scotia,Electric,12,1
2013,Nova Scotia,Total electric charging and alternative fuelling stations,12,4
2013,Nova Scotia,Electric,12,3
2013,Nova Scotia,Propane,12,1
2014,Nova Scotia,Total electric charging and alternative fuelling stations,12,10
2014,Nova Scotia,Electric,12,9
2015,Nova Scotia,Total electric charging and alternative fuelling stations,12,22
2015,Nova Scotia,Electric,12,20
2015,Nova Scotia,Propane,12,2
2016,Nova Scotia,Total electric charging and alternative fuelling stations,12,24
2016,Nova Scotia,Electric,12,22
2017,Nova Scotia,Total electric charging and alternative fuelling stations,12,27
2017,Nova Scotia,Electric,12,25
2018,Nova Scotia,Total electric charging and alternative fuelling stations,12,28
2018,Nova Scotia,Electric,12,26
2019,Nova Scotia,Total electric charging and alternative fuelling stations,12,47
2019,Nova Scotia,Electric,12,45
2020,Nova Scotia,Total electric charging and alternative fuelling stations,12,55
2020,Nova Scotia,Electric,12,53
2021,Nova Scotia,Total electric charging and alternative fuelling stations,12,77
2021,Nova Scotia,Electric,12,74
2021,Nova Scotia,Propane,12,3
2022,Nova Scotia,Total electric charging and alternative fuelling stations,12,149
2022,Nova Scotia,Electric,12,145
2022,Nova Scotia,Propane,12,4
2023,Nova Scotia,Total electric charging and alternative fuelling stations,12,219
2023,Nova Scotia,Electric,12,215
2024,Nova Scotia,Total electric charging and alternative fuelling stations,12,268
2024,Nova Scotia,Electric,12,263
2024,Nova Scotia,Propane,12,5
2025,Nova Scotia,Total electric charging and alternative fuelling stations,12,306
2025,Nova Scotia,Electric,12,301
2010,Ontario,Total electric charging and alternative fuelling stations,35,30
2010,Ontario,Electric,35,2
2010,Ontario,Propane,35,28
2011,Ontario,Total electric charging and alternative fuelling stations,35,38
2011,Ontario,Electric,35,10
2012,Ontario,Total electric charging and alternative fuelling stations,35,48
2012,Ontario,Electric,35,20
2013,Ontario,Total electric charging and alternative fuelling stations,35,68
2013,Ontario,Electric,35,38
2013,Ontario,Propane,35,30
2014,Ontario,Total electric charging and alternative fuelling stations,35,104
2014,Ontario,Compressed natural gas,35,1
2014,Ontario,Electric,35,72
2014,Ontario,Propane,35,31
2015,Ontario,Total electric charging and alternative fuelling stations,35,191
2015,Ontario,Compressed natural gas,35,2
2015,Ontario,Electric,35,157
2015,Ontario,Propane,35,32
2016,Ontario,Total electric charging and alternative fuelling stations,35,237
2016,Ontario,Electric,35,201
2016,Ontario,Hydrogen,35,1
2016,Ontario,Propane,35,33
2017,Ontario,Total electric charging and alternative fuelling stations,35,381
2017,Ontario,Compressed natural gas,35,4
2017,Ontario,Electric,35,304
2017,Ontario,Propane,35,72
2018,Ontario,Total electric charging and alternative fuelling stations,35,490
2018,Ontario,Compressed natural gas,35,7
2018,Ontario,Electric,35,407
2018,Ontario,Propane,35,75
2019,Ontario,Total electric charging and alternative fuelling stations,35,778
2019,Ontario,Compressed natural gas,35,8
2019,Ontario,Electric,35,689
2019,Ontario,Propane,35,80
2020,Ontario,Total electric charging and alternative fuelling stations,35,994
2020,Ontario,Electric,35,898
2020,Ontario,Propane,35,87
2021,Ontario,Total electric charging and alternative fuelling stations,35,1438
2021,Ontario,Compressed natural gas,35,9
2021,Ontario,Electric,35,1340
2021,Ontario,Propane,35,88
2022,Ontario,Total electric charging and alternative fuelling stations,35,2237
2022,Ontario,Compressed natural gas,35,12
2022,Ontario,Electric,35,2123
2022,Ontario,Propane,35,101
2023,Ontario,Total electric charging and alternative fuelling stations,35,3571
2023,Ontario,Electric,35,3453
2023,Ontario,Propane,35,105
2024,Ontario,Total electric charging and alternative fuelling stations,35,4446
2024,Ontario,Electric,35,4319
2024,Ontario,Hydrogen,35,2
2024,Ontario,Propane,35,113
2025,Ontario,Total electric charging and alternative fuelling stations,35,5045
2025,Ontario,Electric,35,4907
2025,Ontario,Propane,35,124
2013,Prince Edward Island,Total electric charging and alternative fuelling stations,11,2
2013,Prince Edward Island,Electric,11,2
2014,Prince Edward Island,Total electric charging and alternative fuelling stations,11,6
