Year,Units,État des stocks,Région,Groupe de stocks,Value
2022,Pourcentage,Zone saine,,Crustacés,57.6923076923077
2022,Pourcentage,Zone saine,,Mollusques,33.3333333333333
2022,Pourcentage,Zone saine,,Autres,50.0
2021,Pourcentage,Zone saine,,Mammifères marins,11.7647058823529
2021,Pourcentage,Zone saine,,Poissons de fond,34.6153846153846
2021,Pourcentage,Zone saine,,Petits poissons pélagiques,5.0
2021,Pourcentage,Zone saine,,Grands poissons pélagiques,66.6666666666667
2021,Pourcentage,Zone saine,,Salmonidés,20.8333333333333
2021,Pourcentage,Zone saine,,Crustacés,55.7692307692308
2021,Pourcentage,Zone saine,,Mollusques,33.3333333333333
2021,Pourcentage,Zone saine,,Autres,66.6666666666667
2022,Pourcentage,Zone de prudence,,Mammifères marins,0.0
2022,Pourcentage,Zone de prudence,,Poissons de fond,15.6862745098039
2022,Pourcentage,Zone de prudence,,Petits poissons pélagiques,20.8333333333333
2022,Pourcentage,Zone de prudence,,Grands poissons pélagiques,0.0
2022,Pourcentage,Zone de prudence,,Salmonidés,32.0
2022,Pourcentage,Zone de prudence,,Crustacés,3.84615384615385
2022,Pourcentage,Zone de prudence,,Mollusques,5.55555555555556
2022,Pourcentage,Zone de prudence,,Autres,0.0
2021,Pourcentage,Zone de prudence,,Mammifères marins,0.0
2021,Pourcentage,Zone de prudence,,Poissons de fond,17.3076923076923
2021,Pourcentage,Zone de prudence,,Petits poissons pélagiques,25.0
2021,Pourcentage,Zone de prudence,,Grands poissons pélagiques,0.0
2021,Pourcentage,Zone de prudence,,Salmonidés,37.5
2021,Pourcentage,Zone de prudence,,Crustacés,5.76923076923077
2021,Pourcentage,Zone de prudence,,Mollusques,5.55555555555556
2021,Pourcentage,Zone de prudence,,Autres,0.0
2022,Pourcentage,Zone critique,,Mammifères marins,0.0
2022,Pourcentage,Zone critique,,Poissons de fond,21.5686274509804
2022,Pourcentage,Zone critique,,Petits poissons pélagiques,16.6666666666667
2022,Pourcentage,Zone critique,,Grands poissons pélagiques,0.0
2022,Pourcentage,Zone critique,,Salmonidés,20.0
2022,Pourcentage,Zone critique,,Crustacés,3.84615384615385
2022,Pourcentage,Zone critique,,Mollusques,5.55555555555556
2022,Pourcentage,Zone critique,,Autres,0.0
2021,Pourcentage,Zone critique,,Mammifères marins,0.0
2021,Pourcentage,Zone critique,,Poissons de fond,21.1538461538462
2021,Pourcentage,Zone critique,,Petits poissons pélagiques,20.0
2021,Pourcentage,Zone critique,,Grands poissons pélagiques,0.0
2021,Pourcentage,Zone critique,,Salmonidés,16.6666666666667
2021,Pourcentage,Zone critique,,Crustacés,3.84615384615385
2021,Pourcentage,Zone critique,,Mollusques,5.55555555555556
2021,Pourcentage,Zone critique,,Autres,0.0
2022,Pourcentage,État incertain,,Mammifères marins,88.2352941176471
2022,Pourcentage,État incertain,,Poissons de fond,29.4117647058824
2022,Pourcentage,État incertain,,Petits poissons pélagiques,54.1666666666667
2022,Pourcentage,État incertain,,Grands poissons pélagiques,50.0
2022,Pourcentage,État incertain,,Salmonidés,28.0
2022,Pourcentage,État incertain,,Crustacés,34.6153846153846
2022,Pourcentage,État incertain,,Mollusques,55.5555555555556
2022,Pourcentage,État incertain,,Autres,50.0
2021,Pourcentage,État incertain,,Mammifères marins,88.2352941176471
2021,Pourcentage,État incertain,,Poissons de fond,26.9230769230769
2021,Pourcentage,État incertain,,Petits poissons pélagiques,50.0
2021,Pourcentage,État incertain,,Grands poissons pélagiques,33.3333333333333
2021,Pourcentage,État incertain,,Salmonidés,25.0
2021,Pourcentage,État incertain,,Crustacés,34.6153846153846
2021,Pourcentage,État incertain,,Mollusques,55.5555555555556
2021,Pourcentage,État incertain,,Autres,33.3333333333333
2022,Pourcentage,Zone de prudence et la zone saine,,Mammifères marins,11.7647058823529
2022,Pourcentage,Zone de prudence et la zone saine,,Poissons de fond,49.0196078431373
2022,Pourcentage,Zone de prudence et la zone saine,,Petits poissons pélagiques,29.1666666666667
2022,Pourcentage,Zone de prudence et la zone saine,,Grands poissons pélagiques,50.0
2022,Pourcentage,Zone de prudence et la zone saine,,Salmonidés,52.0
2022,Pourcentage,Zone de prudence et la zone saine,,Crustacés,61.5384615384615
2022,Pourcentage,Zone de prudence et la zone saine,,Mollusques,38.8888888888889
2022,Pourcentage,Zone de prudence et la zone saine,,Autres,50.0
2021,Pourcentage,Zone de prudence et la zone saine,,Mammifères marins,11.7647058823529
2021,Pourcentage,Zone de prudence et la zone saine,,Poissons de fond,51.9230769230769
2021,Pourcentage,Zone de prudence et la zone saine,,Petits poissons pélagiques,30.0
2021,Pourcentage,Zone de prudence et la zone saine,,Grands poissons pélagiques,66.6666666666667
2021,Pourcentage,Zone de prudence et la zone saine,,Salmonidés,58.3333333333333
2021,Pourcentage,Zone de prudence et la zone saine,,Crustacés,61.5384615384615
2021,Pourcentage,Zone de prudence et la zone saine,,Mollusques,38.8888888888889
2021,Pourcentage,Zone de prudence et la zone saine,,Autres,66.6666666666667
2011,Nombre de stocks,Zone saine,Canada,,72.0
2012,Nombre de stocks,Zone saine,Canada,,75.0
2013,Nombre de stocks,Zone saine,Canada,,74.0
2014,Nombre de stocks,Zone saine,Canada,,75.0
2015,Nombre de stocks,Zone saine,Canada,,78.0
2016,Nombre de stocks,Zone saine,Canada,,76.0
2017,Nombre de stocks,Zone saine,Canada,,63.0
2018,Nombre de stocks,Zone saine,Canada,,58.0
2019,Nombre de stocks,Zone saine,Canada,,52.0
2020,Nombre de stocks,Zone saine,Canada,,56.0
2021,Nombre de stocks,Zone saine,Canada,,66.0
2022,Nombre de stocks,Zone saine,Canada,,66.0
2011,Nombre de stocks,Zone de prudence,Canada,,31.0
2012,Nombre de stocks,Zone de prudence,Canada,,37.0
2013,Nombre de stocks,Zone de prudence,Canada,,41.0
2014,Nombre de stocks,Zone de prudence,Canada,,40.0
2015,Nombre de stocks,Zone de prudence,Canada,,31.0
2016,Nombre de stocks,Zone de prudence,Canada,,31.0
2017,Nombre de stocks,Zone de prudence,Canada,,25.0
2018,Nombre de stocks,Zone de prudence,Canada,,27.0
2019,Nombre de stocks,Zone de prudence,Canada,,29.0
2020,Nombre de stocks,Zone de prudence,Canada,,23.0
2021,Nombre de stocks,Zone de prudence,Canada,,27.0
2022,Nombre de stocks,Zone de prudence,Canada,,24.0
2011,Nombre de stocks,Zone critique,Canada,,17.0
2012,Nombre de stocks,Zone critique,Canada,,15.0
2013,Nombre de stocks,Zone critique,Canada,,16.0
2014,Nombre de stocks,Zone critique,Canada,,15.0
2015,Nombre de stocks,Zone critique,Canada,,19.0
2016,Nombre de stocks,Zone critique,Canada,,21.0
2017,Nombre de stocks,Zone critique,Canada,,18.0
2018,Nombre de stocks,Zone critique,Canada,,19.0
2019,Nombre de stocks,Zone critique,Canada,,25.0
2020,Nombre de stocks,Zone critique,Canada,,23.0
2021,Nombre de stocks,Zone critique,Canada,,22.0
2022,Nombre de stocks,Zone critique,Canada,,23.0
2011,Nombre de stocks,État incertain,Canada,,35.0
2012,Nombre de stocks,État incertain,Canada,,28.0
2013,Nombre de stocks,État incertain,Canada,,24.0
2014,Nombre de stocks,État incertain,Canada,,24.0
2015,Nombre de stocks,État incertain,Canada,,31.0
2016,Nombre de stocks,État incertain,Canada,,42.0
2017,Nombre de stocks,État incertain,Canada,,73.0
2018,Nombre de stocks,État incertain,Canada,,73.0
2019,Nombre de stocks,État incertain,Canada,,70.0
2020,Nombre de stocks,État incertain,Canada,,78.0
2021,Nombre de stocks,État incertain,Canada,,77.0
2022,Nombre de stocks,État incertain,Canada,,82.0
2011,Nombre de stocks,,,,103.0
2012,Nombre de stocks,,,,112.0
2013,Nombre de stocks,,,,115.0
2014,Nombre de stocks,,,,115.0
2015,Nombre de stocks,,,,109.0
2016,Nombre de stocks,,,,107.0
2017,Nombre de stocks,,,,88.0
2018,Nombre de stocks,,,,85.0
2019,Nombre de stocks,,,,81.0
2020,Nombre de stocks,,,,79.0
2021,Nombre de stocks,,,,93.0
2022,Nombre de stocks,,,,90.0
2022,Nombre de stocks,Zone saine,Pacifique,,24.0
2022,Nombre de stocks,Zone de prudence,Pacifique,,13.0
2022,Nombre de stocks,Zone critique,Pacifique,,5.0
2022,Nombre de stocks,État incertain,Pacifique,,15.0
2021,Nombre de stocks,Zone saine,Pacifique,,23.0
2021,Nombre de stocks,Zone de prudence,Pacifique,,16.0
2021,Nombre de stocks,Zone critique,Pacifique,,4.0
2021,Nombre de stocks,État incertain,Pacifique,,14.0
2022,Nombre de stocks,Zone saine,Arctique,,2.0
2022,Nombre de stocks,Zone de prudence,Arctique,,1.0
2022,Nombre de stocks,Zone critique,Arctique,,0.0
2022,Nombre de stocks,État incertain,Arctique,,18.0
2021,Nombre de stocks,Zone saine,Arctique,,2.0
2021,Nombre de stocks,Zone de prudence,Arctique,,1.0
2021,Nombre de stocks,Zone critique,Arctique,,0.0
2021,Nombre de stocks,État incertain,Arctique,,18.0
2022,Nombre de stocks,Zone saine,Atlantique,,40.0
2022,Nombre de stocks,Zone de prudence,Atlantique,,10.0
2022,Nombre de stocks,Zone critique,Atlantique,,18.0
2022,Nombre de stocks,État incertain,Atlantique,,49.0
2021,Nombre de stocks,Zone saine,Atlantique,,41.0
2021,Nombre de stocks,Zone de prudence,Atlantique,,10.0
2021,Nombre de stocks,Zone critique,Atlantique,,18.0
2021,Nombre de stocks,État incertain,Atlantique,,45.0
2022,Nombre de stocks,Zone de prudence et la zone saine,Pacifique,,37.0
2021,Nombre de stocks,Zone de prudence et la zone saine,Pacifique,,39.0
2022,Nombre de stocks,Zone de prudence et la zone saine,Arctique,,3.0
2021,Nombre de stocks,Zone de prudence et la zone saine,Arctique,,3.0
2022,Nombre de stocks,Zone de prudence et la zone saine,Atlantique,,50.0
2021,Nombre de stocks,Zone de prudence et la zone saine,Atlantique,,51.0
2022,Nombre de stocks,Zone saine,,Mammifères marins,2.0
2022,Nombre de stocks,Zone saine,,Poissons de fond,17.0
2022,Nombre de stocks,Zone saine,,Petits poissons pélagiques,2.0
2022,Nombre de stocks,Zone saine,,Grands poissons pélagiques,1.0
2022,Nombre de stocks,Zone saine,,Salmonidés,5.0
2022,Nombre de stocks,Zone saine,,Crustacés,30.0
2022,Nombre de stocks,Zone saine,,Mollusques,6.0
2022,Nombre de stocks,Zone saine,,Autres,3.0
2021,Nombre de stocks,Zone saine,,Mammifères marins,2.0
2021,Nombre de stocks,Zone saine,,Poissons de fond,18.0
2021,Nombre de stocks,Zone saine,,Petits poissons pélagiques,1.0
2021,Nombre de stocks,Zone saine,,Grands poissons pélagiques,2.0
2021,Nombre de stocks,Zone saine,,Salmonidés,5.0
2021,Nombre de stocks,Zone saine,,Crustacés,29.0
2021,Nombre de stocks,Zone saine,,Mollusques,6.0
2021,Nombre de stocks,Zone saine,,Autres,6.0
2022,Nombre de stocks,Zone de prudence,,Mammifères marins,0.0
2022,Nombre de stocks,Zone de prudence,,Poissons de fond,8.0
2022,Nombre de stocks,Zone de prudence,,Petits poissons pélagiques,5.0
2022,Nombre de stocks,Zone de prudence,,Grands poissons pélagiques,0.0
2022,Nombre de stocks,Zone de prudence,,Salmonidés,8.0
2022,Nombre de stocks,Zone de prudence,,Crustacés,2.0
2022,Nombre de stocks,Zone de prudence,,Mollusques,1.0
2022,Nombre de stocks,Zone de prudence,,Autres,0.0
2021,Nombre de stocks,Zone de prudence,,Mammifères marins,0.0
2021,Nombre de stocks,Zone de prudence,,Poissons de fond,9.0
2021,Nombre de stocks,Zone de prudence,,Petits poissons pélagiques,5.0
2021,Nombre de stocks,Zone de prudence,,Grands poissons pélagiques,0.0
2021,Nombre de stocks,Zone de prudence,,Salmonidés,9.0
2021,Nombre de stocks,Zone de prudence,,Crustacés,3.0
2021,Nombre de stocks,Zone de prudence,,Mollusques,1.0
2021,Nombre de stocks,Zone de prudence,,Autres,0.0
2022,Nombre de stocks,Zone critique,,Mammifères marins,0.0
2022,Nombre de stocks,Zone critique,,Poissons de fond,11.0
2022,Nombre de stocks,Zone critique,,Petits poissons pélagiques,4.0
2022,Nombre de stocks,Zone critique,,Grands poissons pélagiques,0.0
2022,Nombre de stocks,Zone critique,,Salmonidés,5.0
2022,Nombre de stocks,Zone critique,,Crustacés,2.0
2022,Nombre de stocks,Zone critique,,Mollusques,1.0
2022,Nombre de stocks,Zone critique,,Autres,0.0
2021,Nombre de stocks,Zone critique,,Mammifères marins,0.0
2021,Nombre de stocks,Zone critique,,Poissons de fond,11.0
2021,Nombre de stocks,Zone critique,,Petits poissons pélagiques,4.0
2021,Nombre de stocks,Zone critique,,Grands poissons pélagiques,0.0
2021,Nombre de stocks,Zone critique,,Salmonidés,4.0
2021,Nombre de stocks,Zone critique,,Crustacés,2.0
2021,Nombre de stocks,Zone critique,,Mollusques,1.0
2021,Nombre de stocks,Zone critique,,Autres,0.0
2022,Nombre de stocks,État incertain,,Mammifères marins,15.0
2022,Nombre de stocks,État incertain,,Poissons de fond,15.0
2022,Nombre de stocks,État incertain,,Petits poissons pélagiques,13.0
2022,Nombre de stocks,État incertain,,Grands poissons pélagiques,1.0
2022,Nombre de stocks,État incertain,,Salmonidés,7.0
2022,Nombre de stocks,État incertain,,Crustacés,18.0
2022,Nombre de stocks,État incertain,,Mollusques,10.0
2022,Nombre de stocks,État incertain,,Autres,3.0
2021,Nombre de stocks,État incertain,,Mammifères marins,15.0
2021,Nombre de stocks,État incertain,,Poissons de fond,14.0
2021,Nombre de stocks,État incertain,,Petits poissons pélagiques,10.0
