Year,Units,Géographie,Catégorie d'utilisation des sols,Qualité de l'eau,Value
2016-2018,Nombre de sites,Océan Atlantique,Total,Excellente,2
2016-2018,Nombre de sites,Océan Atlantique,Total,Bonne,24
2016-2018,Nombre de sites,Océan Atlantique,Total,Satisfaisante,13
2016-2018,Nombre de sites,Océan Atlantique,Total,Douteuse,6
2016-2018,Nombre de sites,Océan Atlantique,Total,Mauvaise,0
2016-2018,Nombre de sites,Grands Lacs et fleuve Saint-Laurent,Total,Excellente,0
2016-2018,Nombre de sites,Grands Lacs et fleuve Saint-Laurent,Total,Bonne,17
2016-2018,Nombre de sites,Grands Lacs et fleuve Saint-Laurent,Total,Satisfaisante,26
2016-2018,Nombre de sites,Grands Lacs et fleuve Saint-Laurent,Total,Douteuse,13
2016-2018,Nombre de sites,Grands Lacs et fleuve Saint-Laurent,Total,Mauvaise,2
2016-2018,Nombre de sites,Baie d'Hudson,Total,Excellente,5
2016-2018,Nombre de sites,Baie d'Hudson,Total,Bonne,14
2016-2018,Nombre de sites,Baie d'Hudson,Total,Satisfaisante,18
2016-2018,Nombre de sites,Baie d'Hudson,Total,Douteuse,7
2016-2018,Nombre de sites,Baie d'Hudson,Total,Mauvaise,1
2016-2018,Nombre de sites,Fleuve Mackenzie,Total,Excellente,3
2016-2018,Nombre de sites,Fleuve Mackenzie,Total,Bonne,7
2016-2018,Nombre de sites,Fleuve Mackenzie,Total,Satisfaisante,10
2016-2018,Nombre de sites,Fleuve Mackenzie,Total,Douteuse,0
2016-2018,Nombre de sites,Fleuve Mackenzie,Total,Mauvaise,0
2016-2018,Nombre de sites,Océan Pacifique,Total,Excellente,2
2016-2018,Nombre de sites,Océan Pacifique,Total,Bonne,7
2016-2018,Nombre de sites,Océan Pacifique,Total,Satisfaisante,10
2016-2018,Nombre de sites,Océan Pacifique,Total,Douteuse,5
2016-2018,Nombre de sites,Océan Pacifique,Total,Mauvaise,1
2016-2018,Pourcentage,Océan Atlantique,Agriculture,Excellente,0
2016-2018,Pourcentage,Océan Atlantique,Agriculture,Bonne,7
2016-2018,Pourcentage,Océan Atlantique,Agriculture,Satisfaisante,2
2016-2018,Pourcentage,Océan Atlantique,Agriculture,Douteuse,0
2016-2018,Pourcentage,Océan Atlantique,Agriculture,Mauvaise,0
2016-2018,Pourcentage,Océan Atlantique,Foresterie,Excellente,2
2016-2018,Pourcentage,Océan Atlantique,Foresterie,Bonne,18
2016-2018,Pourcentage,Océan Atlantique,Foresterie,Satisfaisante,9
2016-2018,Pourcentage,Océan Atlantique,Foresterie,Douteuse,2
2016-2018,Pourcentage,Océan Atlantique,Foresterie,Mauvaise,0
2016-2018,Pourcentage,Océan Atlantique,Exploitation minière,Excellente,0
2016-2018,Pourcentage,Océan Atlantique,Exploitation minière,Bonne,2
2016-2018,Pourcentage,Océan Atlantique,Exploitation minière,Satisfaisante,2
2016-2018,Pourcentage,Océan Atlantique,Exploitation minière,Douteuse,0
2016-2018,Pourcentage,Océan Atlantique,Exploitation minière,Mauvaise,0
2016-2018,Pourcentage,Océan Atlantique,Peuplé,Excellente,0
2016-2018,Pourcentage,Océan Atlantique,Peuplé,Bonne,0
2016-2018,Pourcentage,Océan Atlantique,Peuplé,Satisfaisante,0
2016-2018,Pourcentage,Océan Atlantique,Peuplé,Douteuse,7
2016-2018,Pourcentage,Océan Atlantique,Peuplé,Mauvaise,0
2016-2018,Pourcentage,Océan Atlantique,Pressions mixtes,Excellente,0
2016-2018,Pourcentage,Océan Atlantique,Pressions mixtes,Bonne,9
2016-2018,Pourcentage,Océan Atlantique,Pressions mixtes,Satisfaisante,4
2016-2018,Pourcentage,Océan Atlantique,Pressions mixtes,Douteuse,4
2016-2018,Pourcentage,Océan Atlantique,Pressions mixtes,Mauvaise,0
2016-2018,Pourcentage,Océan Atlantique,Non aménagés,Excellente,2
2016-2018,Pourcentage,Océan Atlantique,Non aménagés,Bonne,18
2016-2018,Pourcentage,Océan Atlantique,Non aménagés,Satisfaisante,11
