Year,Sex,Age group,Value
2002,Females,45 to 49 years,1
2002,Both sexes,50 to 54 years,0
2002,Males,50 to 54 years,0
2002,Females,50 to 54 years,0
2002,Both sexes,55 to 59 years,3
2002,Males,55 to 59 years,2
2002,Females,55 to 59 years,1
2002,Both sexes,60 to 64 years,2
2002,Males,60 to 64 years,1
2002,Females,60 to 64 years,1
2002,Both sexes,65 to 69 years,0
2002,Males,65 to 69 years,0
2002,Females,65 to 69 years,0
2002,Both sexes,70 to 74 years,4
2002,Males,70 to 74 years,0
2002,Females,70 to 74 years,4
2002,Both sexes,75 to 79 years,4
2002,Males,75 to 79 years,2
2002,Females,75 to 79 years,2
2002,Both sexes,80 to 84 years,4
2002,Males,80 to 84 years,2
2002,Females,80 to 84 years,2
2002,Both sexes,85 to 89 years,3
2002,Males,85 to 89 years,1
2002,Females,85 to 89 years,2
2002,Both sexes,90 years and over,2
2002,Males,90 years and over,2
2002,Females,90 years and over,0
2002,Both sexes,"Age, not stated",0
2002,Males,"Age, not stated",0
2002,Females,"Age, not stated",0
2003,,,11
2003,Males,"Total, all ages",9
2003,Females,"Total, all ages",2
2003,Both sexes,Under 1 years,0
2003,Males,Under 1 years,0
2003,Females,Under 1 years,0
2003,Both sexes,1 to 4 years,1
2003,Males,1 to 4 years,0
2003,Females,1 to 4 years,1
2003,Both sexes,5 to 9 years,0
2003,Males,5 to 9 years,0
2003,Females,5 to 9 years,0
2003,Both sexes,10 to 14 years,0
2003,Males,10 to 14 years,0
2003,Females,10 to 14 years,0
2003,Both sexes,15 to 19 years,0
2003,Males,15 to 19 years,0
2003,Females,15 to 19 years,0
2003,Both sexes,20 to 24 years,2
2003,Males,20 to 24 years,2
2003,Females,20 to 24 years,0
2003,Both sexes,25 to 29 years,0
2003,Males,25 to 29 years,0
2003,Females,25 to 29 years,0
2003,Both sexes,30 to 34 years,0
2003,Males,30 to 34 years,0
2003,Females,30 to 34 years,0
2003,Both sexes,35 to 39 years,1
2003,Males,35 to 39 years,1
2003,Females,35 to 39 years,0
2003,Both sexes,40 to 44 years,1
2003,Males,40 to 44 years,0
2003,Females,40 to 44 years,1
2003,Both sexes,45 to 49 years,1
2003,Males,45 to 49 years,1
2003,Females,45 to 49 years,0
2003,Both sexes,50 to 54 years,0
2003,Males,50 to 54 years,0
2003,Females,50 to 54 years,0
2003,Both sexes,55 to 59 years,0
2003,Males,55 to 59 years,0
2003,Females,55 to 59 years,0
2003,Both sexes,60 to 64 years,0
2003,Males,60 to 64 years,0
2003,Females,60 to 64 years,0
2003,Both sexes,65 to 69 years,1
2003,Males,65 to 69 years,1
2003,Females,65 to 69 years,0
2003,Both sexes,70 to 74 years,1
2003,Males,70 to 74 years,1
2003,Females,70 to 74 years,0
2003,Both sexes,75 to 79 years,1
2003,Males,75 to 79 years,1
2003,Females,75 to 79 years,0
2003,Both sexes,80 to 84 years,1
2003,Males,80 to 84 years,1
2003,Females,80 to 84 years,0
2003,Both sexes,85 to 89 years,0
2003,Males,85 to 89 years,0
2003,Females,85 to 89 years,0
2003,Both sexes,90 years and over,1
2003,Males,90 years and over,1
2003,Females,90 years and over,0
2003,Both sexes,"Age, not stated",0
2003,Males,"Age, not stated",0
2003,Females,"Age, not stated",0
2004,,,4
2004,Males,"Total, all ages",3
2004,Females,"Total, all ages",1
2004,Both sexes,Under 1 years,0
2004,Males,Under 1 years,0
2004,Females,Under 1 years,0
2004,Both sexes,1 to 4 years,1
2004,Males,1 to 4 years,1
2004,Females,1 to 4 years,0
2004,Both sexes,5 to 9 years,0
2004,Males,5 to 9 years,0
2004,Females,5 to 9 years,0
2004,Both sexes,10 to 14 years,0
2004,Males,10 to 14 years,0
2004,Females,10 to 14 years,0
2004,Both sexes,15 to 19 years,0
2004,Males,15 to 19 years,0
2004,Females,15 to 19 years,0
2004,Both sexes,20 to 24 years,0
2004,Males,20 to 24 years,0
2004,Females,20 to 24 years,0
2004,Both sexes,25 to 29 years,0
2004,Males,25 to 29 years,0
2004,Females,25 to 29 years,0
2004,Both sexes,30 to 34 years,0
2004,Males,30 to 34 years,0
2004,Females,30 to 34 years,0
2004,Both sexes,35 to 39 years,0
2004,Males,35 to 39 years,0
2004,Females,35 to 39 years,0
2004,Both sexes,40 to 44 years,0
2004,Males,40 to 44 years,0
2004,Females,40 to 44 years,0
2004,Both sexes,45 to 49 years,1
2004,Males,45 to 49 years,1
2004,Females,45 to 49 years,0
2004,Both sexes,50 to 54 years,0
2004,Males,50 to 54 years,0
2004,Females,50 to 54 years,0
2004,Both sexes,55 to 59 years,0
2004,Males,55 to 59 years,0
2004,Females,55 to 59 years,0
2004,Both sexes,60 to 64 years,1
2004,Males,60 to 64 years,0
2004,Females,60 to 64 years,1
2004,Both sexes,65 to 69 years,1
2004,Males,65 to 69 years,1
