Year,Geography,Type of beverage,GeoCode,Value
2021/2022,Northwest Territories,Wines,61,1.4
2021/2022,Northwest Territories,Beer,61,3.9
2021/2022,Northwest Territories,"Ciders, Coolers, and Other Refreshment Beverages",61,1.0
2021/2022,Nunavut,Total alcoholic beverages,62,3.9
2021/2022,Nunavut,Spirits,62,0.4
2021/2022,Nunavut,Wines,62,0.7
2021/2022,Nunavut,Beer,62,2.4
2021/2022,Nunavut,"Ciders, Coolers, and Other Refreshment Beverages",62,0.4
2022/2023,Canada,Spirits,,2.2
2022/2023,Canada,Wines,,1.9
2022/2023,Canada,Beer,,3.1
2022/2023,Canada,"Ciders, Coolers, and Other Refreshment Beverages",,0.7
2022/2023,Newfoundland and Labrador,Total alcoholic beverages,10,8.7
2022/2023,Newfoundland and Labrador,Spirits,10,3.0
2022/2023,Newfoundland and Labrador,Wines,10,1.1
2022/2023,Newfoundland and Labrador,Beer,10,4.1
2022/2023,Newfoundland and Labrador,"Ciders, Coolers, and Other Refreshment Beverages",10,0.6
2022/2023,Prince Edward Island,Total alcoholic beverages,11,8.0
2022/2023,Prince Edward Island,Spirits,11,2.3
2022/2023,Prince Edward Island,Wines,11,1.4
2022/2023,Prince Edward Island,Beer,11,3.3
2022/2023,Prince Edward Island,"Ciders, Coolers, and Other Refreshment Beverages",11,1.1
2022/2023,Nova Scotia,Total alcoholic beverages,12,7.8
2022/2023,Nova Scotia,Spirits,12,2.3
2022/2023,Nova Scotia,Wines,12,1.4
2022/2023,Nova Scotia,Beer,12,3.1
2022/2023,Nova Scotia,"Ciders, Coolers, and Other Refreshment Beverages",12,0.9
2022/2023,New Brunswick,Total alcoholic beverages,13,7.2
2022/2023,New Brunswick,Spirits,13,1.9
2022/2023,New Brunswick,Wines,13,1.3
2022/2023,New Brunswick,Beer,13,3.2
2022/2023,New Brunswick,"Ciders, Coolers, and Other Refreshment Beverages",13,0.8
2022/2023,Quebec,Total alcoholic beverages,24,8.3
2022/2023,Quebec,Spirits,24,1.6
2022/2023,Quebec,Wines,24,2.9
2022/2023,Quebec,Beer,24,3.6
2022/2023,Quebec,"Ciders, Coolers, and Other Refreshment Beverages",24,0.2
2022/2023,Ontario,Total alcoholic beverages,35,7.3
2022/2023,Ontario,Spirits,35,2.0
2022/2023,Ontario,Wines,35,1.7
2022/2023,Ontario,Beer,35,2.9
2022/2023,Ontario,"Ciders, Coolers, and Other Refreshment Beverages",35,0.7
2022/2023,Manitoba,Total alcoholic beverages,46,7.5
2022/2023,Manitoba,Spirits,46,2.7
2022/2023,Manitoba,Wines,46,1.2
2022/2023,Manitoba,Beer,46,2.7
2022/2023,Manitoba,"Ciders, Coolers, and Other Refreshment Beverages",46,0.9
2022/2023,Saskatchewan,Total alcoholic beverages,47,7.9
2022/2023,Saskatchewan,Spirits,47,3.0
2022/2023,Saskatchewan,Wines,47,1.1
2022/2023,Saskatchewan,Beer,47,2.9
2022/2023,Saskatchewan,"Ciders, Coolers, and Other Refreshment Beverages",47,0.9
2022/2023,Alberta,Total alcoholic beverages,48,8.2
2022/2023,Alberta,Spirits,48,3.0
2022/2023,Alberta,Wines,48,1.4
2022/2023,Alberta,Beer,48,2.9
2022/2023,Alberta,"Ciders, Coolers, and Other Refreshment Beverages",48,0.9
2022/2023,British Columbia,Total alcoholic beverages,59,8.5
2022/2023,British Columbia,Spirits,59,2.5
2022/2023,British Columbia,Wines,59,2.0
2022/2023,British Columbia,Beer,59,2.9
2022/2023,British Columbia,"Ciders, Coolers, and Other Refreshment Beverages",59,1.1
2022/2023,Yukon,Total alcoholic beverages,60,12.0
2022/2023,Yukon,Spirits,60,3.9
2022/2023,Yukon,Wines,60,1.8
2022/2023,Yukon,Beer,60,4.7
2022/2023,Yukon,"Ciders, Coolers, and Other Refreshment Beverages",60,1.6
2022/2023,Northwest Territories,Total alcoholic beverages,61,11.5
2022/2023,Northwest Territories,Spirits,61,5.5
2022/2023,Northwest Territories,Wines,61,1.3
2022/2023,Northwest Territories,Beer,61,3.7
2022/2023,Northwest Territories,"Ciders, Coolers, and Other Refreshment Beverages",61,1.0
2022/2023,Nunavut,Total alcoholic beverages,62,4.7
2022/2023,Nunavut,Spirits,62,0.5
2022/2023,Nunavut,Wines,62,0.6
2022/2023,Nunavut,Beer,62,3.0
2022/2023,Nunavut,"Ciders, Coolers, and Other Refreshment Beverages",62,0.7
