Year,Géographie,Type de matières récupérées,Sources des matières préparées en vue du recyclage,Value
2018,Canada,Textiles,Sources des matières non résidentielles récupérées,0.013165996
2018,Canada,Pneus,Toutes les sources des matières récupérées,13.16340636
2018,Canada,Pneus,Sources des matières résidentielles récupérées,
2018,Canada,Pneus,Sources des matières non résidentielles récupérées,
2018,Canada,"Déchets provenant de la construction, de la rénovation et de la démolition",Toutes les sources des matières récupérées,19.49136734
2018,Canada,"Déchets provenant de la construction, de la rénovation et de la démolition",Sources des matières résidentielles récupérées,3.173490763
2018,Canada,"Déchets provenant de la construction, de la rénovation et de la démolition",Sources des matières non résidentielles récupérées,16.31787658
2018,Canada,Matières organiques,Toutes les sources des matières récupérées,77.51102666
2018,Canada,Matières organiques,Sources des matières résidentielles récupérées,61.32397368
2018,Canada,Matières organiques,Sources des matières non résidentielles récupérées,16.18705298
2018,Canada,Autres matières,Toutes les sources des matières récupérées,1.725959606
2018,Canada,Autres matières,Sources des matières résidentielles récupérées,1.254142095
2018,Canada,Autres matières,Sources des matières non résidentielles récupérées,0.47181751
2018,Terre-Neuve-et-Labrador,Toutes les matières,Toutes les sources des matières récupérées,79.41814446
2018,Terre-Neuve-et-Labrador,Toutes les matières,Sources des matières résidentielles récupérées,
2018,Terre-Neuve-et-Labrador,Toutes les matières,Sources des matières non résidentielles récupérées,
2018,Terre-Neuve-et-Labrador,Toutes les fibres cellulosiques,Toutes les sources des matières récupérées,54.56846031
2018,Terre-Neuve-et-Labrador,Toutes les fibres cellulosiques,Sources des matières résidentielles récupérées,25.59365248
2018,Terre-Neuve-et-Labrador,Toutes les fibres cellulosiques,Sources des matières non résidentielles récupérées,28.97480782
2018,Terre-Neuve-et-Labrador,Verre,Toutes les sources des matières récupérées,
2018,Terre-Neuve-et-Labrador,Verre,Sources des matières résidentielles récupérées,
2018,Terre-Neuve-et-Labrador,Verre,Sources des matières non résidentielles récupérées,
2018,Terre-Neuve-et-Labrador,Métaux ferreux,Toutes les sources des matières récupérées,1.016059061
2018,Terre-Neuve-et-Labrador,Métaux ferreux,Sources des matières résidentielles récupérées,
2018,Terre-Neuve-et-Labrador,Métaux ferreux,Sources des matières non résidentielles récupérées,
2018,Terre-Neuve-et-Labrador,Cuivre et aluminium,Toutes les sources des matières récupérées,0.201689626
2018,Terre-Neuve-et-Labrador,Cuivre et aluminium,Sources des matières résidentielles récupérées,
2018,Terre-Neuve-et-Labrador,Cuivre et aluminium,Sources des matières non résidentielles récupérées,
2018,Terre-Neuve-et-Labrador,Métaux mélangés,Toutes les sources des matières récupérées,
2018,Terre-Neuve-et-Labrador,Métaux mélangés,Sources des matières résidentielles récupérées,
2018,Terre-Neuve-et-Labrador,Métaux mélangés,Sources des matières non résidentielles récupérées,
2018,Terre-Neuve-et-Labrador,Électroménagers,Toutes les sources des matières récupérées,2.401248192
2018,Terre-Neuve-et-Labrador,Électroménagers,Sources des matières résidentielles récupérées,2.401248192
2018,Terre-Neuve-et-Labrador,Électroménagers,Sources des matières non résidentielles récupérées,
2018,Terre-Neuve-et-Labrador,Matériel électronique,Toutes les sources des matières récupérées,1.51457493
2018,Terre-Neuve-et-Labrador,Matériel électronique,Sources des matières résidentielles récupérées,
2018,Terre-Neuve-et-Labrador,Matériel électronique,Sources des matières non résidentielles récupérées,
2018,Terre-Neuve-et-Labrador,Matières plastiques,Toutes les sources des matières récupérées,2.108227415
2018,Terre-Neuve-et-Labrador,Matières plastiques,Sources des matières résidentielles récupérées,1.877996803
2018,Terre-Neuve-et-Labrador,Matières plastiques,Sources des matières non résidentielles récupérées,0.230230611
2018,Terre-Neuve-et-Labrador,Récipients triangulaires et aseptiques,Toutes les sources des matières récupérées,1.033183652
2018,Terre-Neuve-et-Labrador,Récipients triangulaires et aseptiques,Sources des matières résidentielles récupérées,0.869548672
2018,Terre-Neuve-et-Labrador,Récipients triangulaires et aseptiques,Sources des matières non résidentielles récupérées,0.16363498
2018,Terre-Neuve-et-Labrador,Textiles,Toutes les sources des matières récupérées,
2018,Terre-Neuve-et-Labrador,Textiles,Sources des matières résidentielles récupérées,
2018,Terre-Neuve-et-Labrador,Textiles,Sources des matières non résidentielles récupérées,
2018,Terre-Neuve-et-Labrador,Pneus,Toutes les sources des matières récupérées,11.28129995
2018,Terre-Neuve-et-Labrador,Pneus,Sources des matières résidentielles récupérées,
2018,Terre-Neuve-et-Labrador,Pneus,Sources des matières non résidentielles récupérées,
2018,Terre-Neuve-et-Labrador,"Déchets provenant de la construction, de la rénovation et de la démolition",Toutes les sources des matières récupérées,
2018,Terre-Neuve-et-Labrador,"Déchets provenant de la construction, de la rénovation et de la démolition",Sources des matières résidentielles récupérées,
2018,Terre-Neuve-et-Labrador,"Déchets provenant de la construction, de la rénovation et de la démolition",Sources des matières non résidentielles récupérées,
2018,Terre-Neuve-et-Labrador,Matières organiques,Toutes les sources des matières récupérées,1.721972753
2018,Terre-Neuve-et-Labrador,Matières organiques,Sources des matières résidentielles récupérées,
2018,Terre-Neuve-et-Labrador,Matières organiques,Sources des matières non résidentielles récupérées,
2018,Terre-Neuve-et-Labrador,Autres matières,Toutes les sources des matières récupérées,
2018,Terre-Neuve-et-Labrador,Autres matières,Sources des matières résidentielles récupérées,
2018,Terre-Neuve-et-Labrador,Autres matières,Sources des matières non résidentielles récupérées,
2018,Île-du-Prince-Édouard,Toutes les matières,Toutes les sources des matières récupérées,64001.71452
2018,Île-du-Prince-Édouard,Toutes les matières,Sources des matières résidentielles récupérées,
2018,Île-du-Prince-Édouard,Toutes les matières,Sources des matières non résidentielles récupérées,
2018,Île-du-Prince-Édouard,Toutes les fibres cellulosiques,Toutes les sources des matières récupérées,79.62397976
2018,Île-du-Prince-Édouard,Toutes les fibres cellulosiques,Sources des matières résidentielles récupérées,30.25502621
2018,Île-du-Prince-Édouard,Toutes les fibres cellulosiques,Sources des matières non résidentielles récupérées,49.36895356
2018,Île-du-Prince-Édouard,Verre,Toutes les sources des matières récupérées,1.74711205
2018,Île-du-Prince-Édouard,Verre,Sources des matières résidentielles récupérées,0.664945631
2018,Île-du-Prince-Édouard,Verre,Sources des matières non résidentielles récupérées,1.082166419
2018,Île-du-Prince-Édouard,Métaux ferreux,Toutes les sources des matières récupérées,61.03809747
2018,Île-du-Prince-Édouard,Métaux ferreux,Sources des matières résidentielles récupérées,23.19486818
2018,Île-du-Prince-Édouard,Métaux ferreux,Sources des matières non résidentielles récupérées,37.84322929
2018,Île-du-Prince-Édouard,Cuivre et aluminium,Toutes les sources des matières récupérées,10.59349657
2018,Île-du-Prince-Édouard,Cuivre et aluminium,Sources des matières résidentielles récupérées,4.393856424
2018,Île-du-Prince-Édouard,Cuivre et aluminium,Sources des matières non résidentielles récupérées,6.199640147
2018,Île-du-Prince-Édouard,Métaux mélangés,Toutes les sources des matières récupérées,13.06422593
2018,Île-du-Prince-Édouard,Métaux mélangés,Sources des matières résidentielles récupérées,4.967535007
2018,Île-du-Prince-Édouard,Métaux mélangés,Sources des matières non résidentielles récupérées,8.096690918
2018,Île-du-Prince-Édouard,Électroménagers,Toutes les sources des matières récupérées,44.26451798
2018,Île-du-Prince-Édouard,Électroménagers,Sources des matières résidentielles récupérées,16.81921302
2018,Île-du-Prince-Édouard,Électroménagers,Sources des matières non résidentielles récupérées,27.44530496
2018,Île-du-Prince-Édouard,Matériel électronique,Toutes les sources des matières récupérées,2.985736264
2018,Île-du-Prince-Édouard,Matériel électronique,Sources des matières résidentielles récupérées,
2018,Île-du-Prince-Édouard,Matériel électronique,Sources des matières non résidentielles récupérées,
2018,Île-du-Prince-Édouard,Matières plastiques,Toutes les sources des matières récupérées,6.121411249
2018,Île-du-Prince-Édouard,Matières plastiques,Sources des matières résidentielles récupérées,2.327309708
2018,Île-du-Prince-Édouard,Matières plastiques,Sources des matières non résidentielles récupérées,3.794101541
2018,Île-du-Prince-Édouard,Récipients triangulaires et aseptiques,Toutes les sources des matières récupérées,
2018,Île-du-Prince-Édouard,Récipients triangulaires et aseptiques,Sources des matières résidentielles récupérées,
2018,Île-du-Prince-Édouard,Récipients triangulaires et aseptiques,Sources des matières non résidentielles récupérées,
2018,Île-du-Prince-Édouard,Textiles,Toutes les sources des matières récupérées,
2018,Île-du-Prince-Édouard,Textiles,Sources des matières résidentielles récupérées,
2018,Île-du-Prince-Édouard,Textiles,Sources des matières non résidentielles récupérées,
2018,Île-du-Prince-Édouard,Pneus,Toutes les sources des matières récupérées,15.34590211
2018,Île-du-Prince-Édouard,Pneus,Sources des matières résidentielles récupérées,
2018,Île-du-Prince-Édouard,Pneus,Sources des matières non résidentielles récupérées,
2018,Île-du-Prince-Édouard,"Déchets provenant de la construction, de la rénovation et de la démolition",Toutes les sources des matières récupérées,
2018,Île-du-Prince-Édouard,"Déchets provenant de la construction, de la rénovation et de la démolition",Sources des matières résidentielles récupérées,
2018,Île-du-Prince-Édouard,"Déchets provenant de la construction, de la rénovation et de la démolition",Sources des matières non résidentielles récupérées,
2018,Île-du-Prince-Édouard,Matières organiques,Toutes les sources des matières récupérées,133.2824845
2018,Île-du-Prince-Édouard,Matières organiques,Sources des matières résidentielles récupérées,105.0614097
2018,Île-du-Prince-Édouard,Matières organiques,Sources des matières non résidentielles récupérées,28.22107487
2018,Île-du-Prince-Édouard,Autres matières,Toutes les sources des matières récupérées,2.183890062
2018,Île-du-Prince-Édouard,Autres matières,Sources des matières résidentielles récupérées,0.827922501
2018,Île-du-Prince-Édouard,Autres matières,Sources des matières non résidentielles récupérées,1.355967561
2018,Nouvelle-Écosse,Toutes les matières,Toutes les sources des matières récupérées,330.4319881
2018,Nouvelle-Écosse,Toutes les matières,Sources des matières résidentielles récupérées,
2018,Nouvelle-Écosse,Toutes les matières,Sources des matières non résidentielles récupérées,
2018,Nouvelle-Écosse,Toutes les fibres cellulosiques,Toutes les sources des matières récupérées,76.65018792
2018,Nouvelle-Écosse,Toutes les fibres cellulosiques,Sources des matières résidentielles récupérées,41.59928047
2018,Nouvelle-Écosse,Toutes les fibres cellulosiques,Sources des matières non résidentielles récupérées,35.05090744
2018,Nouvelle-Écosse,Verre,Toutes les sources des matières récupérées,4.365582018
2018,Nouvelle-Écosse,Verre,Sources des matières résidentielles récupérées,
2018,Nouvelle-Écosse,Verre,Sources des matières non résidentielles récupérées,
2018,Nouvelle-Écosse,Métaux ferreux,Toutes les sources des matières récupérées,5.776257661
2018,Nouvelle-Écosse,Métaux ferreux,Sources des matières résidentielles récupérées,5.35055081
2018,Nouvelle-Écosse,Métaux ferreux,Sources des matières non résidentielles récupérées,0.425706851
2018,Nouvelle-Écosse,Cuivre et aluminium,Toutes les sources des matières récupérées,0.474746611
2018,Nouvelle-Écosse,Cuivre et aluminium,Sources des matières résidentielles récupérées,0.442401237
2018,Nouvelle-Écosse,Cuivre et aluminium,Sources des matières non résidentielles récupérées,0.032345373
2018,Nouvelle-Écosse,Métaux mélangés,Toutes les sources des matières récupérées,
2018,Nouvelle-Écosse,Métaux mélangés,Sources des matières résidentielles récupérées,
2018,Nouvelle-Écosse,Métaux mélangés,Sources des matières non résidentielles récupérées,
2018,Nouvelle-Écosse,Électroménagers,Toutes les sources des matières récupérées,1.143565462
2018,Nouvelle-Écosse,Électroménagers,Sources des matières résidentielles récupérées,
2018,Nouvelle-Écosse,Électroménagers,Sources des matières non résidentielles récupérées,
2018,Nouvelle-Écosse,Matériel électronique,Toutes les sources des matières récupérées,3.306531887
2018,Nouvelle-Écosse,Matériel électronique,Sources des matières résidentielles récupérées,
2018,Nouvelle-Écosse,Matériel électronique,Sources des matières non résidentielles récupérées,
2018,Nouvelle-Écosse,Matières plastiques,Toutes les sources des matières récupérées,15.67289854
2018,Nouvelle-Écosse,Matières plastiques,Sources des matières résidentielles récupérées,11.19045582
2018,Nouvelle-Écosse,Matières plastiques,Sources des matières non résidentielles récupérées,4.482442723
2018,Nouvelle-Écosse,Récipients triangulaires et aseptiques,Toutes les sources des matières récupérées,1.099742698
2018,Nouvelle-Écosse,Récipients triangulaires et aseptiques,Sources des matières résidentielles récupérées,1.014183968
2018,Nouvelle-Écosse,Récipients triangulaires et aseptiques,Sources des matières non résidentielles récupérées,0.08555873
2018,Nouvelle-Écosse,Textiles,Toutes les sources des matières récupérées,
2018,Nouvelle-Écosse,Textiles,Sources des matières résidentielles récupérées,
2018,Nouvelle-Écosse,Textiles,Sources des matières non résidentielles récupérées,
2018,Nouvelle-Écosse,Pneus,Toutes les sources des matières récupérées,14.89139258
2018,Nouvelle-Écosse,Pneus,Sources des matières résidentielles récupérées,
2018,Nouvelle-Écosse,Pneus,Sources des matières non résidentielles récupérées,
2018,Nouvelle-Écosse,"Déchets provenant de la construction, de la rénovation et de la démolition",Toutes les sources des matières récupérées,51.74633715
2018,Nouvelle-Écosse,"Déchets provenant de la construction, de la rénovation et de la démolition",Sources des matières résidentielles récupérées,5.484105901
2018,Nouvelle-Écosse,"Déchets provenant de la construction, de la rénovation et de la démolition",Sources des matières non résidentielles récupérées,46.26327465
2018,Nouvelle-Écosse,Matières organiques,Toutes les sources des matières récupérées,154.7861762
2018,Nouvelle-Écosse,Matières organiques,Sources des matières résidentielles récupérées,101.4131798
2018,Nouvelle-Écosse,Matières organiques,Sources des matières non résidentielles récupérées,53.37299641
2018,Nouvelle-Écosse,Autres matières,Toutes les sources des matières récupérées,
2018,Nouvelle-Écosse,Autres matières,Sources des matières résidentielles récupérées,
2018,Nouvelle-Écosse,Autres matières,Sources des matières non résidentielles récupérées,
2018,Nouveau-Brunswick,Toutes les matières,Toutes les sources des matières récupérées,212.5662566
2018,Nouveau-Brunswick,Toutes les matières,Sources des matières résidentielles récupérées,
2018,Nouveau-Brunswick,Toutes les matières,Sources des matières non résidentielles récupérées,
2018,Nouveau-Brunswick,Toutes les fibres cellulosiques,Toutes les sources des matières récupérées,36.5052103
2018,Nouveau-Brunswick,Toutes les fibres cellulosiques,Sources des matières résidentielles récupérées,21.3734631
2018,Nouveau-Brunswick,Toutes les fibres cellulosiques,Sources des matières non résidentielles récupérées,15.1317472
2018,Nouveau-Brunswick,Verre,Toutes les sources des matières récupérées,5.717245596
2018,Nouveau-Brunswick,Verre,Sources des matières résidentielles récupérées,2.881990287
2018,Nouveau-Brunswick,Verre,Sources des matières non résidentielles récupérées,2.835255309
2018,Nouveau-Brunswick,Métaux ferreux,Toutes les sources des matières récupérées,1.971956417
2018,Nouveau-Brunswick,Métaux ferreux,Sources des matières résidentielles récupérées,1.429311399
2018,Nouveau-Brunswick,Métaux ferreux,Sources des matières non résidentielles récupérées,0.542645018
2018,Nouveau-Brunswick,Cuivre et aluminium,Toutes les sources des matières récupérées,2.802800464
2018,Nouveau-Brunswick,Cuivre et aluminium,Sources des matières résidentielles récupérées,2.610667778
2018,Nouveau-Brunswick,Cuivre et aluminium,Sources des matières non résidentielles récupérées,0.192132686
2018,Nouveau-Brunswick,Métaux mélangés,Toutes les sources des matières récupérées,0.802283783
2018,Nouveau-Brunswick,Métaux mélangés,Sources des matières résidentielles récupérées,
2018,Nouveau-Brunswick,Métaux mélangés,Sources des matières non résidentielles récupérées,
2018,Nouveau-Brunswick,Électroménagers,Toutes les sources des matières récupérées,0.173957972
2018,Nouveau-Brunswick,Électroménagers,Sources des matières résidentielles récupérées,
2018,Nouveau-Brunswick,Électroménagers,Sources des matières non résidentielles récupérées,
2018,Nouveau-Brunswick,Matériel électronique,Toutes les sources des matières récupérées,1.117744882
2018,Nouveau-Brunswick,Matériel électronique,Sources des matières résidentielles récupérées,
2018,Nouveau-Brunswick,Matériel électronique,Sources des matières non résidentielles récupérées,
2018,Nouveau-Brunswick,Matières plastiques,Toutes les sources des matières récupérées,7.110207568
2018,Nouveau-Brunswick,Matières plastiques,Sources des matières résidentielles récupérées,4.067241247
2018,Nouveau-Brunswick,Matières plastiques,Sources des matières non résidentielles récupérées,3.042966321
2018,Nouveau-Brunswick,Récipients triangulaires et aseptiques,Toutes les sources des matières récupérées,0.614045678
2018,Nouveau-Brunswick,Récipients triangulaires et aseptiques,Sources des matières résidentielles récupérées,
2018,Nouveau-Brunswick,Récipients triangulaires et aseptiques,Sources des matières non résidentielles récupérées,
2018,Nouveau-Brunswick,Textiles,Toutes les sources des matières récupérées,
2018,Nouveau-Brunswick,Textiles,Sources des matières résidentielles récupérées,
2018,Nouveau-Brunswick,Textiles,Sources des matières non résidentielles récupérées,
2018,Nouveau-Brunswick,Pneus,Toutes les sources des matières récupérées,14.07891201
2018,Nouveau-Brunswick,Pneus,Sources des matières résidentielles récupérées,
2018,Nouveau-Brunswick,Pneus,Sources des matières non résidentielles récupérées,
2018,Nouveau-Brunswick,"Déchets provenant de la construction, de la rénovation et de la démolition",Toutes les sources des matières récupérées,14.04126439
2018,Nouveau-Brunswick,"Déchets provenant de la construction, de la rénovation et de la démolition",Sources des matières résidentielles récupérées,0.830844047
2018,Nouveau-Brunswick,"Déchets provenant de la construction, de la rénovation et de la démolition",Sources des matières non résidentielles récupérées,13.21042034
2018,Nouveau-Brunswick,Matières organiques,Toutes les sources des matières récupérées,122.3690479
2018,Nouveau-Brunswick,Matières organiques,Sources des matières résidentielles récupérées,
2018,Nouveau-Brunswick,Matières organiques,Sources des matières non résidentielles récupérées,
2018,Nouveau-Brunswick,Autres matières,Toutes les sources des matières récupérées,5.261579564
2018,Nouveau-Brunswick,Autres matières,Sources des matières résidentielles récupérées,4.789037013
2018,Nouveau-Brunswick,Autres matières,Sources des matières non résidentielles récupérées,0.472542552
2018,Québec,Toutes les matières,Toutes les sources des matières récupérées,330.6603943
2018,Québec,Toutes les matières,Sources des matières résidentielles récupérées,
2018,Québec,Toutes les matières,Sources des matières non résidentielles récupérées,
2018,Québec,Toutes les fibres cellulosiques,Toutes les sources des matières récupérées,130.9252919
2018,Québec,Toutes les fibres cellulosiques,Sources des matières résidentielles récupérées,62.72511711
2018,Québec,Toutes les fibres cellulosiques,Sources des matières non résidentielles récupérées,68.20017477
2018,Québec,Verre,Toutes les sources des matières récupérées,6.229068319
2018,Québec,Verre,Sources des matières résidentielles récupérées,5.356034668
2018,Québec,Verre,Sources des matières non résidentielles récupérées,0.873033651
2018,Québec,Métaux ferreux,Toutes les sources des matières récupérées,37.63507027
2018,Québec,Métaux ferreux,Sources des matières résidentielles récupérées,4.641896712
2018,Québec,Métaux ferreux,Sources des matières non résidentielles récupérées,32.99317356
2018,Québec,Cuivre et aluminium,Toutes les sources des matières récupérées,6.284414011
2018,Québec,Cuivre et aluminium,Sources des matières résidentielles récupérées,
2018,Québec,Cuivre et aluminium,Sources des matières non résidentielles récupérées,6.284414011
2018,Québec,Métaux mélangés,Toutes les sources des matières récupérées,
2018,Québec,Métaux mélangés,Sources des matières résidentielles récupérées,
2018,Québec,Métaux mélangés,Sources des matières non résidentielles récupérées,
2018,Québec,Électroménagers,Toutes les sources des matières récupérées,33.10148448
2018,Québec,Électroménagers,Sources des matières résidentielles récupérées,
2018,Québec,Électroménagers,Sources des matières non résidentielles récupérées,33.10148448
2018,Québec,Matériel électronique,Toutes les sources des matières récupérées,2.545544743
2018,Québec,Matériel électronique,Sources des matières résidentielles récupérées,
2018,Québec,Matériel électronique,Sources des matières non résidentielles récupérées,
2018,Québec,Matières plastiques,Toutes les sources des matières récupérées,9.878908388
2018,Québec,Matières plastiques,Sources des matières résidentielles récupérées,7.022356565
2018,Québec,Matières plastiques,Sources des matières non résidentielles récupérées,2.856551823
2018,Québec,Récipients triangulaires et aseptiques,Toutes les sources des matières récupérées,
2018,Québec,Récipients triangulaires et aseptiques,Sources des matières résidentielles récupérées,
2018,Québec,Récipients triangulaires et aseptiques,Sources des matières non résidentielles récupérées,
2018,Québec,Textiles,Toutes les sources des matières récupérées,6.598634711
2018,Québec,Textiles,Sources des matières résidentielles récupérées,6.598634711
2018,Québec,Textiles,Sources des matières non résidentielles récupérées,
2018,Québec,Pneus,Toutes les sources des matières récupérées,10.93226187
2018,Québec,Pneus,Sources des matières résidentielles récupérées,
2018,Québec,Pneus,Sources des matières non résidentielles récupérées,
2018,Québec,"Déchets provenant de la construction, de la rénovation et de la démolition",Toutes les sources des matières récupérées,35.11178282
2018,Québec,"Déchets provenant de la construction, de la rénovation et de la démolition",Sources des matières résidentielles récupérées,
2018,Québec,"Déchets provenant de la construction, de la rénovation et de la démolition",Sources des matières non résidentielles récupérées,35.11178282
2018,Québec,Matières organiques,Toutes les sources des matières récupérées,51.41793281
2018,Québec,Matières organiques,Sources des matières résidentielles récupérées,45.34776019
2018,Québec,Matières organiques,Sources des matières non résidentielles récupérées,6.070172624
2018,Québec,Autres matières,Toutes les sources des matières récupérées,
2018,Québec,Autres matières,Sources des matières résidentielles récupérées,
2018,Québec,Autres matières,Sources des matières non résidentielles récupérées,
2018,Ontario,Toutes les matières,Toutes les sources des matières récupérées,233.5106404
2018,Ontario,Toutes les matières,Sources des matières résidentielles récupérées,
2018,Ontario,Toutes les matières,Sources des matières non résidentielles récupérées,
2018,Ontario,Toutes les fibres cellulosiques,Toutes les sources des matières récupérées,92.16213049
2018,Ontario,Toutes les fibres cellulosiques,Sources des matières résidentielles récupérées,40.66967104
2018,Ontario,Toutes les fibres cellulosiques,Sources des matières non résidentielles récupérées,51.49245945
2018,Ontario,Verre,Toutes les sources des matières récupérées,7.977316174
2018,Ontario,Verre,Sources des matières résidentielles récupérées,5.865383829
2018,Ontario,Verre,Sources des matières non résidentielles récupérées,2.111932344
2018,Ontario,Métaux ferreux,Toutes les sources des matières récupérées,8.083125948
2018,Ontario,Métaux ferreux,Sources des matières résidentielles récupérées,2.694025878
2018,Ontario,Métaux ferreux,Sources des matières non résidentielles récupérées,5.38910007
2018,Ontario,Cuivre et aluminium,Toutes les sources des matières récupérées,1.543956099
2018,Ontario,Cuivre et aluminium,Sources des matières résidentielles récupérées,0.828097765
2018,Ontario,Cuivre et aluminium,Sources des matières non résidentielles récupérées,0.715858334
2018,Ontario,Métaux mélangés,Toutes les sources des matières récupérées,2.753080871
2018,Ontario,Métaux mélangés,Sources des matières résidentielles récupérées,1.029304066
2018,Ontario,Métaux mélangés,Sources des matières non résidentielles récupérées,1.723776805
2018,Ontario,Électroménagers,Toutes les sources des matières récupérées,0.797417123
2018,Ontario,Électroménagers,Sources des matières résidentielles récupérées,0.70278936
2018,Ontario,Électroménagers,Sources des matières non résidentielles récupérées,0.094627764
2018,Ontario,Matériel électronique,Toutes les sources des matières récupérées,3.212521727
2018,Ontario,Matériel électronique,Sources des matières résidentielles récupérées,
2018,Ontario,Matériel électronique,Sources des matières non résidentielles récupérées,
2018,Ontario,Matières plastiques,Toutes les sources des matières récupérées,8.779206101
2018,Ontario,Matières plastiques,Sources des matières résidentielles récupérées,6.874490389
2018,Ontario,Matières plastiques,Sources des matières non résidentielles récupérées,1.904715712
2018,Ontario,Récipients triangulaires et aseptiques,Toutes les sources des matières récupérées,0.628498877
2018,Ontario,Récipients triangulaires et aseptiques,Sources des matières résidentielles récupérées,0.513394057
2018,Ontario,Récipients triangulaires et aseptiques,Sources des matières non résidentielles récupérées,0.115104821
2018,Ontario,Textiles,Toutes les sources des matières récupérées,0.084773617
2018,Ontario,Textiles,Sources des matières résidentielles récupérées,0.084284404
2018,Ontario,Textiles,Sources des matières non résidentielles récupérées,0.000489213
2018,Ontario,Pneus,Toutes les sources des matières récupérées,14.72558962
2018,Ontario,Pneus,Sources des matières résidentielles récupérées,
2018,Ontario,Pneus,Sources des matières non résidentielles récupérées,
2018,Ontario,"Déchets provenant de la construction, de la rénovation et de la démolition",Toutes les sources des matières récupérées,10.92426515
2018,Ontario,"Déchets provenant de la construction, de la rénovation et de la démolition",Sources des matières résidentielles récupérées,3.765052821
2018,Ontario,"Déchets provenant de la construction, de la rénovation et de la démolition",Sources des matières non résidentielles récupérées,7.159212331
2018,Ontario,Matières organiques,Toutes les sources des matières récupérées,80.03307359
2018,Ontario,Matières organiques,Sources des matières résidentielles récupérées,73.59887487
2018,Ontario,Matières organiques,Sources des matières non résidentielles récupérées,6.434198725
2018,Ontario,Autres matières,Toutes les sources des matières récupérées,1.805685032
2018,Ontario,Autres matières,Sources des matières résidentielles récupérées,1.315493647
2018,Ontario,Autres matières,Sources des matières non résidentielles récupérées,0.490191385
2018,Manitoba,Toutes les matières,Toutes les sources des matières récupérées,163.8770721
2018,Manitoba,Toutes les matières,Sources des matières résidentielles récupérées,
2018,Manitoba,Toutes les matières,Sources des matières non résidentielles récupérées,
2018,Manitoba,Toutes les fibres cellulosiques,Toutes les sources des matières récupérées,64.80069484
2018,Manitoba,Toutes les fibres cellulosiques,Sources des matières résidentielles récupérées,39.68288581
2018,Manitoba,Toutes les fibres cellulosiques,Sources des matières non résidentielles récupérées,25.11780903
2018,Manitoba,Verre,Toutes les sources des matières récupérées,6.66383309
2018,Manitoba,Verre,Sources des matières résidentielles récupérées,6.29127936
2018,Manitoba,Verre,Sources des matières non résidentielles récupérées,0.37255373
2018,Manitoba,Métaux ferreux,Toutes les sources des matières récupérées,
2018,Manitoba,Métaux ferreux,Sources des matières résidentielles récupérées,
2018,Manitoba,Métaux ferreux,Sources des matières non résidentielles récupérées,
2018,Manitoba,Cuivre et aluminium,Toutes les sources des matières récupérées,1.90046754
2018,Manitoba,Cuivre et aluminium,Sources des matières résidentielles récupérées,1.631400957
2018,Manitoba,Cuivre et aluminium,Sources des matières non résidentielles récupérées,0.269066583
