Year,Geography,GeoCode,Value
1990,,,4.4
1991,,,4.4
1992,,,4.6
1993,,,4.7
1994,,,4.8
1995,,,5.1
1996,,,5.2
1997,,,5.3
1998,,,5.6
1999,,,5.8
2000,,,5.9
2001,,,6.2
2002,,,6.3
2003,,,6.8
2004,,,6.9
2005,,,7.1
2006,,,7.2
2007,,,7.5
2008,,,8.0
2009,,,8.3
2010,,,8.4
2011,,,8.7
2012,,,9.1
2013,,,9.4
2014,,,9.5
2015,,,10.1
2016,,,10.2
2017,,,10.2
2018,,,11.2
2019,,,12.1
2020,,,12.9
2021,,,13.5
2022,,,13.6
2023,,,13.7
2021,Alberta,48,15.4
2021,British Columbia,59,19.6
2021,Manitoba,46,11.0
2021,New Brunswick,13,4.9
2021,Newfoundland and Labrador,10,6.9
2021,Northwest Territories,61,15.8
2021,Nova Scotia,12,12.8
2021,Nunavut,62,10.1
2021,Ontario,35,10.7
2021,Prince Edward Island,11,4.5
2021,Quebec,24,16.7
2021,Saskatchewan,47,9.8
2021,Yukon,60,19.1
2022,Alberta,48,15.4
2022,British Columbia,59,19.6
2022,Manitoba,46,11.0
2022,New Brunswick,13,9.9
2022,Newfoundland and Labrador,10,6.9
2022,Northwest Territories,61,15.8
2022,Nova Scotia,12,13.2
2022,Nunavut,62,10.2
2022,Ontario,35,10.9
2022,Prince Edward Island,11,4.8
2022,Quebec,24,16.8
2022,Saskatchewan,47,9.8
2022,Yukon,60,19.3
2023,Alberta,48,15.5
2023,British Columbia,59,19.7
2023,Manitoba,46,11.1
2023,New Brunswick,13,10.3
2023,Newfoundland and Labrador,10,7.0
2023,Northwest Territories,61,15.8
2023,Nova Scotia,12,13.6
2023,Nunavut,62,10.2
2023,Ontario,35,10.9
2023,Prince Edward Island,11,5.1
2023,Quebec,24,16.9
2023,Saskatchewan,47,9.8
2023,Yukon,60,21.1
