Year,Industries,Activités de protection de l'environnement,Value
2018,Fabrication de machines,Lutte contre le bruit et les vibrations,5.9
2018,Fabrication de meubles et de produits connexes,"Total, activités de protection de l'environnement",93.5
2018,Fabrication de meubles et de produits connexes,Gestion des eaux usées,61.1
2018,Fabrication de meubles et de produits connexes,Gestion de la pollution atmosphérique,18.9
2018,Fabrication de meubles et de produits connexes,"Protection et assainissement du sol, des eaux souterraines et des eaux de surface",6.0
2018,Fabrication de meubles et de produits connexes,Protection de la biodiversité et de l’habitat,5.6
2018,Fabrication de meubles et de produits connexes,Lutte contre le bruit et les vibrations,13.2
2018,Autres industries de fabrication,"Total, activités de protection de l'environnement",87.0
2018,Autres industries de fabrication,Gestion des eaux usées,57.6
2018,Autres industries de fabrication,Gestion de la pollution atmosphérique,10.9
2018,Autres industries de fabrication,"Protection et assainissement du sol, des eaux souterraines et des eaux de surface",1.6
2018,Autres industries de fabrication,Protection de la biodiversité et de l’habitat,2.3
2018,Autres industries de fabrication,Lutte contre le bruit et les vibrations,4.2
2018,Transport par pipeline,"Total, activités de protection de l'environnement",86.9
2018,Transport par pipeline,Gestion des eaux usées,65.6
2018,Transport par pipeline,Gestion de la pollution atmosphérique,59.0
2018,Transport par pipeline,"Protection et assainissement du sol, des eaux souterraines et des eaux de surface",75.4
2018,Transport par pipeline,Protection de la biodiversité et de l’habitat,67.2
2018,Transport par pipeline,Lutte contre le bruit et les vibrations,50.8
2019,"Total, industries",Gestion des eaux usées,60.7
2019,"Total, industries",Gestion de la pollution atmosphérique,16.4
2019,"Total, industries","Protection et assainissement du sol, des eaux souterraines et des eaux de surface",7.9
2019,"Total, industries",Protection de la biodiversité et de l’habitat,5.8
2019,"Total, industries",Lutte contre le bruit et les vibrations,6.4
2019,Exploitation forestière (sauf à forfait),"Total, activités de protection de l'environnement",68.3
2019,Exploitation forestière (sauf à forfait),Gestion des eaux usées,54.8
2019,Exploitation forestière (sauf à forfait),Gestion de la pollution atmosphérique,0.4
2019,Exploitation forestière (sauf à forfait),"Protection et assainissement du sol, des eaux souterraines et des eaux de surface",8.3
2019,Exploitation forestière (sauf à forfait),Protection de la biodiversité et de l’habitat,35.4
2019,Exploitation forestière (sauf à forfait),Lutte contre le bruit et les vibrations,27.8
2019,Extraction de pétrole et de gaz,"Total, activités de protection de l'environnement",79.2
2019,Extraction de pétrole et de gaz,Gestion des eaux usées,69.4
