Year,Series,data.Demographic and geodemographic,data.Geography,GeoCode,Value
2021,data.Age,data.65 years and over,data.Saskatchewan,47,12.8
2021,data.Gender,data.Men+,data.Saskatchewan,47,78.1
2021,data.Total,data.Percentage of population within 500 metres of a public transit stop,data.Saskatchewan,47,79.7
2021,data.Gender,data.Women+,data.Saskatchewan,47,81.3
2021,data.Age,data.0 to 14 years,data.Alberta,48,13.8
2021,data.Age,data.15 to 64 years,data.Alberta,48,51.9
2021,data.Age,data.65 years and over,data.Alberta,48,10.7
2021,data.Gender,data.Men+,data.Alberta,48,38.0
2021,data.Total,data.Percentage of population within 500 metres of a public transit stop,data.Alberta,48,76.4
2021,data.Gender,data.Women+,data.Alberta,48,38.5
2021,data.Age,data.0 to 14 years,data.British Columbia,59,10.6
2021,data.Age,data.15 to 64 years,data.British Columbia,59,50.4
2021,data.Age,data.65 years and over,data.British Columbia,59,14.9
2021,data.Gender,data.Men+,data.British Columbia,59,37.0
2021,data.Total,data.Percentage of population within 500 metres of a public transit stop,data.British Columbia,59,75.9
2021,data.Gender,data.Women+,data.British Columbia,59,38.9
2021,data.Age,data.0 to 14 years,data.Yukon,60,13.2
2021,data.Age,data.15 to 64 years,data.Yukon,60,52.1
2021,data.Age,data.65 years and over,data.Yukon,60,10.1
2021,data.Gender,data.Men+,data.Yukon,60,37.0
2021,data.Total,data.Percentage of population within 500 metres of a public transit stop,data.Yukon,60,75.5
2021,data.Gender,data.Women+,data.Yukon,60,38.5
2021,data.Age,data.0 to 14 years,data.Northwest Territories,61,17.7
2021,data.Age,data.15 to 64 years,data.Northwest Territories,61,63.1
2021,data.Age,data.65 years and over,data.Northwest Territories,61,7.0
2021,data.Gender,data.Men+,data.Northwest Territories,61,43.7
2021,data.Total,data.Percentage of population within 500 metres of a public transit stop,data.Northwest Territories,61,87.9
2021,data.Gender,data.Women+,data.Northwest Territories,61,44.2
2021,data.Age,data.0 to 14 years,data.Canada,,11.8
2021,data.Age,data.15 to 64 years,data.Canada,,49.7
2021,data.Age,data.65 years and over,data.Canada,,13.6
2021,data.Gender,data.Men+,data.Canada,,37.6
2021,data.Total,data.Percentage of population within 500 metres of a public transit stop,data.Canada,,75.1
2021,data.Gender,data.Women+,data.Canada,,39.3
