Year,Value
2019,48.4
2018,47.3
2017,49.0
2016,48.4
2015,47.8
2014,46.4
2013,44.1
2012,42.6
2011,43.5
2010,43.2
2009,41.2
2008,42.0
2007,39.7
2006,35.7
2005,34.5
2004,24.7
2003,16.7
2002,8.1
2001,4.6
2000,1.4
