Year,Value,Units
2013,37316714.0,Cubic metres
2015,36242425.0,Cubic metres
2017,36645559.0,Cubic metres
2019,36116379.0,Cubic metres
2013,4.5,Growth rate
2015,-2.9,Growth rate
2017,1.1,Growth rate
2019,-1.4,Growth rate
