Year,Value
2000,53.64
2001,53.64
2002,53.63
2003,53.62
2004,53.62
2005,53.61
2006,53.6
2007,53.59
2008,53.58
2009,53.58
2010,53.57
2011,53.56
2012,53.56
2013,53.55
2014,53.54
2015,53.54
2016,53.53
2017,53.53
2018,53.52
2019,53.51
