Year,Value,Units
2015,8246990.0,Terajoules
2016,8155257.0,Terajoules
2017,8472571.0,Terajoules
2018,8852052.0,Terajoules
2019,8882020.0,Terajoules
2020,7947788.0,Terajoules
2021,8166974.0,Terajoules
2015,0.0,Per capita
2016,0.0,Per capita
2017,0.0,Per capita
2018,0.0,Per capita
2019,0.0,Per capita
2020,0.0,Per capita
2021,0.0,Per capita
