Year,Value,GeoCode
2015,1070.26,
2016,1076.03,
2017,1112.67,
2018,1151.36,
2019,1278.46,
2020,1265.03,
2021,1331.12,
2022,1376.93,
2023,1441.79,
2024,1433.46,
