Year,Value,GeoCode
2010,109,
2011,122,
2012,151,
2013,227,
2014,343,
2015,670,
2016,854,
2017,1341,
2018,1787,
2019,3776,
2020,4563,
2021,5861,
2022,8099,
2023,11110,
2024,13518,
2025,15843,
2026,16230,
