Year,Value
2000,3
2001,17
2002,33
2003,11
2004,4
2005,13
2006,14
2007,4
2008,2
2009,5
2010,50
2011,16
2012,8
2013,14
2014,7
2015,8
2016,5
2017,3
2018,160
2019,28
2020,59
2021,602
2022,35
2023,18
2024,46
