Year,Geography,Sources of waste for disposal,GeoCode,Value
2002,"Yukon, Northwest Territories and Nunavut",Residential sources of waste for disposal,,
2002,"Yukon, Northwest Territories and Nunavut",Non-residential sources of waste for disposal,,
2004,Canada,Residential sources of waste for disposal,,280.6
2004,Canada,Non-residential sources of waste for disposal,,509.3
2004,Newfoundland and Labrador,All sources of waste for disposal,10,773.2
2004,Newfoundland and Labrador,Residential sources of waste for disposal,10,440.7
2004,Newfoundland and Labrador,Non-residential sources of waste for disposal,10,332.5
2004,Prince Edward Island,All sources of waste for disposal,11,
2004,Prince Edward Island,Residential sources of waste for disposal,11,
2004,Prince Edward Island,Non-residential sources of waste for disposal,11,
2004,Nova Scotia,All sources of waste for disposal,12,425.7
2004,Nova Scotia,Residential sources of waste for disposal,12,190.8
2004,Nova Scotia,Non-residential sources of waste for disposal,12,234.9
2004,New Brunswick,All sources of waste for disposal,13,590.0
2004,New Brunswick,Residential sources of waste for disposal,13,277.7
2004,New Brunswick,Non-residential sources of waste for disposal,13,312.3
2004,Quebec,All sources of waste for disposal,24,856.5
2004,Quebec,Residential sources of waste for disposal,24,293.1
2004,Quebec,Non-residential sources of waste for disposal,24,563.3
2004,Ontario,All sources of waste for disposal,35,791.7
2004,Ontario,Residential sources of waste for disposal,35,281.7
2004,Ontario,Non-residential sources of waste for disposal,35,510.1
2004,Manitoba,All sources of waste for disposal,46,791.1
2004,Manitoba,Residential sources of waste for disposal,46,384.1
2004,Manitoba,Non-residential sources of waste for disposal,46,407.0
2004,Saskatchewan,All sources of waste for disposal,47,797.1
2004,Saskatchewan,Residential sources of waste for disposal,47,280.2
2004,Saskatchewan,Non-residential sources of waste for disposal,47,516.9
2004,Alberta,All sources of waste for disposal,48,950.1
2004,Alberta,Residential sources of waste for disposal,48,291.3
2004,Alberta,Non-residential sources of waste for disposal,48,658.8
2004,British Columbia,All sources of waste for disposal,59,666.0
2004,British Columbia,Residential sources of waste for disposal,59,221.2
2004,British Columbia,Non-residential sources of waste for disposal,59,444.8
2004,"Yukon, Northwest Territories and Nunavut",All sources of waste for disposal,,
2004,"Yukon, Northwest Territories and Nunavut",Residential sources of waste for disposal,,
2004,"Yukon, Northwest Territories and Nunavut",Non-residential sources of waste for disposal,,
2006,Canada,Residential sources of waste for disposal,,299.3
2006,Canada,Non-residential sources of waste for disposal,,511.8
2006,Newfoundland and Labrador,All sources of waste for disposal,10,839.8
2006,Newfoundland and Labrador,Residential sources of waste for disposal,10,445.8
2006,Newfoundland and Labrador,Non-residential sources of waste for disposal,10,394.0
2006,Prince Edward Island,All sources of waste for disposal,11,
2006,Prince Edward Island,Residential sources of waste for disposal,11,
2006,Prince Edward Island,Non-residential sources of waste for disposal,11,
2006,Nova Scotia,All sources of waste for disposal,12,382.9
2006,Nova Scotia,Residential sources of waste for disposal,12,180.6
2006,Nova Scotia,Non-residential sources of waste for disposal,12,202.3
2006,New Brunswick,All sources of waste for disposal,13,686.3
2006,New Brunswick,Residential sources of waste for disposal,13,353.5
2006,New Brunswick,Non-residential sources of waste for disposal,13,332.8
2006,Quebec,All sources of waste for disposal,24,892.1
2006,Quebec,Residential sources of waste for disposal,24,390.5
2006,Quebec,Non-residential sources of waste for disposal,24,501.6
2006,Ontario,All sources of waste for disposal,35,766.9
2006,Ontario,Residential sources of waste for disposal,35,269.4
2006,Ontario,Non-residential sources of waste for disposal,35,497.5
2006,Manitoba,All sources of waste for disposal,46,764.0
2006,Manitoba,Residential sources of waste for disposal,46,359.3
2006,Manitoba,Non-residential sources of waste for disposal,46,404.7
2006,Saskatchewan,All sources of waste for disposal,47,840.2
2006,Saskatchewan,Residential sources of waste for disposal,47,298.4
2006,Saskatchewan,Non-residential sources of waste for disposal,47,541.9
2006,Alberta,All sources of waste for disposal,48,1116.5
2006,Alberta,Residential sources of waste for disposal,48,284.6
2006,Alberta,Non-residential sources of waste for disposal,48,831.9
2006,British Columbia,All sources of waste for disposal,59,687.7
2006,British Columbia,Residential sources of waste for disposal,59,225.6
2006,British Columbia,Non-residential sources of waste for disposal,59,462.1
2006,"Yukon, Northwest Territories and Nunavut",All sources of waste for disposal,,
2006,"Yukon, Northwest Territories and Nunavut",Residential sources of waste for disposal,,
2006,"Yukon, Northwest Territories and Nunavut",Non-residential sources of waste for disposal,,
2008,Canada,Residential sources of waste for disposal,,281.5
2008,Canada,Non-residential sources of waste for disposal,,498.3
2008,Newfoundland and Labrador,All sources of waste for disposal,10,780.3
2008,Newfoundland and Labrador,Residential sources of waste for disposal,10,412.4
2008,Newfoundland and Labrador,Non-residential sources of waste for disposal,10,367.9
2008,Prince Edward Island,All sources of waste for disposal,11,
2008,Prince Edward Island,Residential sources of waste for disposal,11,
2008,Prince Edward Island,Non-residential sources of waste for disposal,11,
2008,Nova Scotia,All sources of waste for disposal,12,378.5
2008,Nova Scotia,Residential sources of waste for disposal,12,158.2
2008,Nova Scotia,Non-residential sources of waste for disposal,12,220.3
2008,New Brunswick,All sources of waste for disposal,13,642.0
2008,New Brunswick,Residential sources of waste for disposal,13,312.9
2008,New Brunswick,Non-residential sources of waste for disposal,13,329.0
2008,Quebec,All sources of waste for disposal,24,791.9
2008,Quebec,Residential sources of waste for disposal,24,367.0
2008,Quebec,Non-residential sources of waste for disposal,24,424.8
2008,Ontario,All sources of waste for disposal,35,747.6
2008,Ontario,Residential sources of waste for disposal,35,250.8
2008,Ontario,Non-residential sources of waste for disposal,35,496.8
2008,Manitoba,All sources of waste for disposal,46,789.3
2008,Manitoba,Residential sources of waste for disposal,46,334.2
2008,Manitoba,Non-residential sources of waste for disposal,46,455.1
2008,Saskatchewan,All sources of waste for disposal,47,887.5
2008,Saskatchewan,Residential sources of waste for disposal,47,284.8
2008,Saskatchewan,Non-residential sources of waste for disposal,47,602.7
2008,Alberta,All sources of waste for disposal,48,1153.4
2008,Alberta,Residential sources of waste for disposal,48,276.4
2008,Alberta,Non-residential sources of waste for disposal,48,877.0
2008,British Columbia,All sources of waste for disposal,59,646.4
2008,British Columbia,Residential sources of waste for disposal,59,220.8
2008,British Columbia,Non-residential sources of waste for disposal,59,425.6
2008,"Yukon, Northwest Territories and Nunavut",All sources of waste for disposal,,
2008,"Yukon, Northwest Territories and Nunavut",Residential sources of waste for disposal,,
2008,"Yukon, Northwest Territories and Nunavut",Non-residential sources of waste for disposal,,
2010,Canada,Residential sources of waste for disposal,,277.8
2010,Canada,Non-residential sources of waste for disposal,,455.9
2010,Newfoundland and Labrador,All sources of waste for disposal,10,755.2
2010,Newfoundland and Labrador,Residential sources of waste for disposal,10,
2010,Newfoundland and Labrador,Non-residential sources of waste for disposal,10,
2010,Prince Edward Island,All sources of waste for disposal,11,
2010,Prince Edward Island,Residential sources of waste for disposal,11,
2010,Prince Edward Island,Non-residential sources of waste for disposal,11,
2010,Nova Scotia,All sources of waste for disposal,12,389.8
2010,Nova Scotia,Residential sources of waste for disposal,12,154.5
2010,Nova Scotia,Non-residential sources of waste for disposal,12,235.3
2010,New Brunswick,All sources of waste for disposal,13,631.1
2010,New Brunswick,Residential sources of waste for disposal,13,291.5
2010,New Brunswick,Non-residential sources of waste for disposal,13,339.7
2010,Quebec,All sources of waste for disposal,24,730.9
2010,Quebec,Residential sources of waste for disposal,24,359.8
2010,Quebec,Non-residential sources of waste for disposal,24,371.1
2010,Ontario,All sources of waste for disposal,35,703.9
2010,Ontario,Residential sources of waste for disposal,35,243.9
2010,Ontario,Non-residential sources of waste for disposal,35,460.0
2010,Manitoba,All sources of waste for disposal,46,835.9
2010,Manitoba,Residential sources of waste for disposal,46,371.7
2010,Manitoba,Non-residential sources of waste for disposal,46,464.2
2010,Saskatchewan,All sources of waste for disposal,47,891.4
2010,Saskatchewan,Residential sources of waste for disposal,47,269.8
2010,Saskatchewan,Non-residential sources of waste for disposal,47,621.6
2010,Alberta,All sources of waste for disposal,48,1049.7
2010,Alberta,Residential sources of waste for disposal,48,292.9
2010,Alberta,Non-residential sources of waste for disposal,48,756.8
2010,British Columbia,All sources of waste for disposal,59,595.3
2010,British Columbia,Residential sources of waste for disposal,59,213.6
2010,British Columbia,Non-residential sources of waste for disposal,59,381.7
2010,"Yukon, Northwest Territories and Nunavut",All sources of waste for disposal,,
2010,"Yukon, Northwest Territories and Nunavut",Residential sources of waste for disposal,,
2010,"Yukon, Northwest Territories and Nunavut",Non-residential sources of waste for disposal,,
2012,Canada,Residential sources of waste for disposal,,279.0
2012,Canada,Non-residential sources of waste for disposal,,432.0
2012,Newfoundland and Labrador,All sources of waste for disposal,10,744.1
2012,Newfoundland and Labrador,Residential sources of waste for disposal,10,
2012,Newfoundland and Labrador,Non-residential sources of waste for disposal,10,
2012,Prince Edward Island,All sources of waste for disposal,11,
2012,Prince Edward Island,Residential sources of waste for disposal,11,
2012,Prince Edward Island,Non-residential sources of waste for disposal,11,
2012,Nova Scotia,All sources of waste for disposal,12,387.1
2012,Nova Scotia,Residential sources of waste for disposal,12,154.4
2012,Nova Scotia,Non-residential sources of waste for disposal,12,232.7
2012,New Brunswick,All sources of waste for disposal,13,650.2
2012,New Brunswick,Residential sources of waste for disposal,13,284.6
2012,New Brunswick,Non-residential sources of waste for disposal,13,365.6
2012,Quebec,All sources of waste for disposal,24,692.9
2012,Quebec,Residential sources of waste for disposal,24,347.8
2012,Quebec,Non-residential sources of waste for disposal,24,345.1
2012,Ontario,All sources of waste for disposal,35,687.6
2012,Ontario,Residential sources of waste for disposal,35,253.0
2012,Ontario,Non-residential sources of waste for disposal,35,434.6
2012,Manitoba,All sources of waste for disposal,46,814.7
2012,Manitoba,Residential sources of waste for disposal,46,355.6
2012,Manitoba,Non-residential sources of waste for disposal,46,459.1
2012,Saskatchewan,All sources of waste for disposal,47,884.3
2012,Saskatchewan,Residential sources of waste for disposal,47,291.8
2012,Saskatchewan,Non-residential sources of waste for disposal,47,592.5
2012,Alberta,All sources of waste for disposal,48,1010.8
2012,Alberta,Residential sources of waste for disposal,48,303.8
2012,Alberta,Non-residential sources of waste for disposal,48,707.1
2012,British Columbia,All sources of waste for disposal,59,569.7
2012,British Columbia,Residential sources of waste for disposal,59,207.3
2012,British Columbia,Non-residential sources of waste for disposal,59,362.4
2012,"Yukon, Northwest Territories and Nunavut",All sources of waste for disposal,,
2012,"Yukon, Northwest Territories and Nunavut",Residential sources of waste for disposal,,
2012,"Yukon, Northwest Territories and Nunavut",Non-residential sources of waste for disposal,,
2014,Canada,Residential sources of waste for disposal,,276.7
2014,Canada,Non-residential sources of waste for disposal,,422.3
2014,Newfoundland and Labrador,All sources of waste for disposal,10,786.3
2014,Newfoundland and Labrador,Residential sources of waste for disposal,10,
2014,Newfoundland and Labrador,Non-residential sources of waste for disposal,10,
2014,Prince Edward Island,All sources of waste for disposal,11,
2014,Prince Edward Island,Residential sources of waste for disposal,11,
2014,Prince Edward Island,Non-residential sources of waste for disposal,11,
2014,Nova Scotia,All sources of waste for disposal,12,388.4
2014,Nova Scotia,Residential sources of waste for disposal,12,171.5
2014,Nova Scotia,Non-residential sources of waste for disposal,12,216.9
2014,New Brunswick,All sources of waste for disposal,13,669.8
2014,New Brunswick,Residential sources of waste for disposal,13,309.1
2014,New Brunswick,Non-residential sources of waste for disposal,13,360.6
2014,Quebec,All sources of waste for disposal,24,664.6
2014,Quebec,Residential sources of waste for disposal,24,347.5
2014,Quebec,Non-residential sources of waste for disposal,24,317.0
2014,Ontario,All sources of waste for disposal,35,673.0
2014,Ontario,Residential sources of waste for disposal,35,256.3
2014,Ontario,Non-residential sources of waste for disposal,35,416.7
2014,Manitoba,All sources of waste for disposal,46,775.2
2014,Manitoba,Residential sources of waste for disposal,46,260.7
2014,Manitoba,Non-residential sources of waste for disposal,46,514.5
2014,Saskatchewan,All sources of waste for disposal,47,845.9
2014,Saskatchewan,Residential sources of waste for disposal,47,298.1
2014,Saskatchewan,Non-residential sources of waste for disposal,47,547.8
2014,Alberta,All sources of waste for disposal,48,1004.0
2014,Alberta,Residential sources of waste for disposal,48,301.5
2014,Alberta,Non-residential sources of waste for disposal,48,702.5
2014,British Columbia,All sources of waste for disposal,59,577.4
2014,British Columbia,Residential sources of waste for disposal,59,199.7
2014,British Columbia,Non-residential sources of waste for disposal,59,377.7
2014,"Yukon, Northwest Territories and Nunavut",All sources of waste for disposal,,
2014,"Yukon, Northwest Territories and Nunavut",Residential sources of waste for disposal,,
2014,"Yukon, Northwest Territories and Nunavut",Non-residential sources of waste for disposal,,
2016,Canada,Residential sources of waste for disposal,,283.2
2016,Canada,Non-residential sources of waste for disposal,,407.5
2016,Newfoundland and Labrador,All sources of waste for disposal,10,746.5
2016,Newfoundland and Labrador,Residential sources of waste for disposal,10,
2016,Newfoundland and Labrador,Non-residential sources of waste for disposal,10,
2016,Prince Edward Island,All sources of waste for disposal,11,
2016,Prince Edward Island,Residential sources of waste for disposal,11,
2016,Prince Edward Island,Non-residential sources of waste for disposal,11,
2016,Nova Scotia,All sources of waste for disposal,12,397.9
2016,Nova Scotia,Residential sources of waste for disposal,12,180.1
2016,Nova Scotia,Non-residential sources of waste for disposal,12,217.9
2016,New Brunswick,All sources of waste for disposal,13,659.1
2016,New Brunswick,Residential sources of waste for disposal,13,295.9
2016,New Brunswick,Non-residential sources of waste for disposal,13,363.2
2016,Quebec,All sources of waste for disposal,24,651.2
2016,Quebec,Residential sources of waste for disposal,24,366.0
2016,Quebec,Non-residential sources of waste for disposal,24,285.2
2016,Ontario,All sources of waste for disposal,35,682.8
2016,Ontario,Residential sources of waste for disposal,35,266.9
2016,Ontario,Non-residential sources of waste for disposal,35,415.9
2016,Manitoba,All sources of waste for disposal,46,737.6
2016,Manitoba,Residential sources of waste for disposal,46,234.8
2016,Manitoba,Non-residential sources of waste for disposal,46,502.8
2016,Saskatchewan,All sources of waste for disposal,47,791.2
2016,Saskatchewan,Residential sources of waste for disposal,47,302.5
2016,Saskatchewan,Non-residential sources of waste for disposal,47,488.7
2016,Alberta,All sources of waste for disposal,48,1002.7
2016,Alberta,Residential sources of waste for disposal,48,309.8
2016,Alberta,Non-residential sources of waste for disposal,48,692.9
2016,British Columbia,All sources of waste for disposal,59,537.7
2016,British Columbia,Residential sources of waste for disposal,59,191.2
2016,British Columbia,Non-residential sources of waste for disposal,59,346.5
2016,"Yukon, Northwest Territories and Nunavut",All sources of waste for disposal,,
2016,"Yukon, Northwest Territories and Nunavut",Residential sources of waste for disposal,,
2016,"Yukon, Northwest Territories and Nunavut",Non-residential sources of waste for disposal,,
