Year,Geography,Age group,Sex,Value
2020,Newfoundland and Labrador,"Total, 12 years and over",Males,96.0
2015,Newfoundland and Labrador,"Total, 12 years and over",Females,90.9
2016,Newfoundland and Labrador,"Total, 12 years and over",Females,92.3
2017,Newfoundland and Labrador,"Total, 12 years and over",Females,91.4
2018,Newfoundland and Labrador,"Total, 12 years and over",Females,93.8
2019,Newfoundland and Labrador,"Total, 12 years and over",Females,92.8
2020,Newfoundland and Labrador,"Total, 12 years and over",Females,92.9
2015,Newfoundland and Labrador,12 to 17 years,Both sexes,99.6
2016,Newfoundland and Labrador,12 to 17 years,Both sexes,97.8
2017,Newfoundland and Labrador,12 to 17 years,Both sexes,95.8
2018,Newfoundland and Labrador,12 to 17 years,Both sexes,99.8
2019,Newfoundland and Labrador,12 to 17 years,Both sexes,100.0
2020,Newfoundland and Labrador,12 to 17 years,Both sexes,95.9
2015,Newfoundland and Labrador,12 to 17 years,Males,100.0
2016,Newfoundland and Labrador,12 to 17 years,Males,100.0
2017,Newfoundland and Labrador,12 to 17 years,Males,94.2
2018,Newfoundland and Labrador,12 to 17 years,Males,100.0
2019,Newfoundland and Labrador,12 to 17 years,Males,100.0
2020,Newfoundland and Labrador,12 to 17 years,Males,100.0
2015,Newfoundland and Labrador,12 to 17 years,Females,99.1
2016,Newfoundland and Labrador,12 to 17 years,Females,95.7
2017,Newfoundland and Labrador,12 to 17 years,Females,97.3
2018,Newfoundland and Labrador,12 to 17 years,Females,99.5
2019,Newfoundland and Labrador,12 to 17 years,Females,100.0
2020,Newfoundland and Labrador,12 to 17 years,Females,91.9
2015,Newfoundland and Labrador,18 to 34 years,Both sexes,89.7
2016,Newfoundland and Labrador,18 to 34 years,Both sexes,94.2
2017,Newfoundland and Labrador,18 to 34 years,Both sexes,91.7
2018,Newfoundland and Labrador,18 to 34 years,Both sexes,95.0
2019,Newfoundland and Labrador,18 to 34 years,Both sexes,94.9
2020,Newfoundland and Labrador,18 to 34 years,Both sexes,97.4
2015,Newfoundland and Labrador,18 to 34 years,Males,87.7
2016,Newfoundland and Labrador,18 to 34 years,Males,96.5
2017,Newfoundland and Labrador,18 to 34 years,Males,94.3
2018,Newfoundland and Labrador,18 to 34 years,Males,91.6
2019,Newfoundland and Labrador,18 to 34 years,Males,91.9
2020,Newfoundland and Labrador,18 to 34 years,Males,97.9
2015,Newfoundland and Labrador,18 to 34 years,Females,91.7
2016,Newfoundland and Labrador,18 to 34 years,Females,91.8
2017,Newfoundland and Labrador,18 to 34 years,Females,89.0
2018,Newfoundland and Labrador,18 to 34 years,Females,98.3
2019,Newfoundland and Labrador,18 to 34 years,Females,98.0
2020,Newfoundland and Labrador,18 to 34 years,Females,96.8
2015,Newfoundland and Labrador,35 to 49 years,Both sexes,91.0
2016,Newfoundland and Labrador,35 to 49 years,Both sexes,93.5
2017,Newfoundland and Labrador,35 to 49 years,Both sexes,95.5
2018,Newfoundland and Labrador,35 to 49 years,Both sexes,91.4
2019,Newfoundland and Labrador,35 to 49 years,Both sexes,92.9
2020,Newfoundland and Labrador,35 to 49 years,Both sexes,92.5
2015,Newfoundland and Labrador,35 to 49 years,Males,93.1
2016,Newfoundland and Labrador,35 to 49 years,Males,94.5
2017,Newfoundland and Labrador,35 to 49 years,Males,97.2
2018,Newfoundland and Labrador,35 to 49 years,Males,92.3
2019,Newfoundland and Labrador,35 to 49 years,Males,95.4
2020,Newfoundland and Labrador,35 to 49 years,Males,97.3
2015,Newfoundland and Labrador,35 to 49 years,Females,89.1
2016,Newfoundland and Labrador,35 to 49 years,Females,92.5
2017,Newfoundland and Labrador,35 to 49 years,Females,93.7
2018,Newfoundland and Labrador,35 to 49 years,Females,90.6
2019,Newfoundland and Labrador,35 to 49 years,Females,90.5
2020,Newfoundland and Labrador,35 to 49 years,Females,88.3
2015,Newfoundland and Labrador,50 to 64 years,Both sexes,92.0
2016,Newfoundland and Labrador,50 to 64 years,Both sexes,91.6
2017,Newfoundland and Labrador,50 to 64 years,Both sexes,90.1
2018,Newfoundland and Labrador,50 to 64 years,Both sexes,95.1
2019,Newfoundland and Labrador,50 to 64 years,Both sexes,91.1
2020,Newfoundland and Labrador,50 to 64 years,Both sexes,95.8
2015,Newfoundland and Labrador,50 to 64 years,Males,91.3
2016,Newfoundland and Labrador,50 to 64 years,Males,90.9
2017,Newfoundland and Labrador,50 to 64 years,Males,91.3
2018,Newfoundland and Labrador,50 to 64 years,Males,94.4
2019,Newfoundland and Labrador,50 to 64 years,Males,90.1
2020,Newfoundland and Labrador,50 to 64 years,Males,95.3
2015,Newfoundland and Labrador,50 to 64 years,Females,92.6
2016,Newfoundland and Labrador,50 to 64 years,Females,92.2
2017,Newfoundland and Labrador,50 to 64 years,Females,88.8
2018,Newfoundland and Labrador,50 to 64 years,Females,95.8
2019,Newfoundland and Labrador,50 to 64 years,Females,92.1
2020,Newfoundland and Labrador,50 to 64 years,Females,96.3
2015,Newfoundland and Labrador,65 years and over,Both sexes,86.8
2016,Newfoundland and Labrador,65 years and over,Both sexes,92.3
2017,Newfoundland and Labrador,65 years and over,Both sexes,91.2
2018,Newfoundland and Labrador,65 years and over,Both sexes,87.1
2019,Newfoundland and Labrador,65 years and over,Both sexes,88.0
2020,Newfoundland and Labrador,65 years and over,Both sexes,91.4
2015,Newfoundland and Labrador,65 years and over,Males,86.2
2016,Newfoundland and Labrador,65 years and over,Males,93.0
2017,Newfoundland and Labrador,65 years and over,Males,89.0
2018,Newfoundland and Labrador,65 years and over,Males,85.1
2019,Newfoundland and Labrador,65 years and over,Males,86.1
2020,Newfoundland and Labrador,65 years and over,Males,92.5
2015,Newfoundland and Labrador,65 years and over,Females,87.3
2016,Newfoundland and Labrador,65 years and over,Females,91.7
2017,Newfoundland and Labrador,65 years and over,Females,93.0
2018,Newfoundland and Labrador,65 years and over,Females,88.7
2019,Newfoundland and Labrador,65 years and over,Females,89.6
2020,Newfoundland and Labrador,65 years and over,Females,90.4
2015,Prince Edward Island,"Total, 12 years and over",Both sexes,94.2
2016,Prince Edward Island,"Total, 12 years and over",Both sexes,94.1
2017,Prince Edward Island,"Total, 12 years and over",Both sexes,92.4
2018,Prince Edward Island,"Total, 12 years and over",Both sexes,93.2
2019,Prince Edward Island,"Total, 12 years and over",Both sexes,94.1
2020,Prince Edward Island,"Total, 12 years and over",Both sexes,96.5
2015,Prince Edward Island,"Total, 12 years and over",Males,94.8
2016,Prince Edward Island,"Total, 12 years and over",Males,94.5
2017,Prince Edward Island,"Total, 12 years and over",Males,93.7
2018,Prince Edward Island,"Total, 12 years and over",Males,94.0
2019,Prince Edward Island,"Total, 12 years and over",Males,92.2
2020,Prince Edward Island,"Total, 12 years and over",Males,98.4
2015,Prince Edward Island,"Total, 12 years and over",Females,93.6
2016,Prince Edward Island,"Total, 12 years and over",Females,93.7
2017,Prince Edward Island,"Total, 12 years and over",Females,91.1
2018,Prince Edward Island,"Total, 12 years and over",Females,92.4
2019,Prince Edward Island,"Total, 12 years and over",Females,96.0
2020,Prince Edward Island,"Total, 12 years and over",Females,94.7
2015,Prince Edward Island,12 to 17 years,Both sexes,99.2
2016,Prince Edward Island,12 to 17 years,Both sexes,98.0
2017,Prince Edward Island,12 to 17 years,Both sexes,98.7
2018,Prince Edward Island,12 to 17 years,Both sexes,94.9
2019,Prince Edward Island,12 to 17 years,Both sexes,99.5
2020,Prince Edward Island,12 to 17 years,Both sexes,100.0
2015,Prince Edward Island,12 to 17 years,Males,98.4
2016,Prince Edward Island,12 to 17 years,Males,96.0
2017,Prince Edward Island,12 to 17 years,Males,100.0
2018,Prince Edward Island,12 to 17 years,Males,96.5
2019,Prince Edward Island,12 to 17 years,Males,100.0
2020,Prince Edward Island,12 to 17 years,Males,100.0
2015,Prince Edward Island,12 to 17 years,Females,100.0
2016,Prince Edward Island,12 to 17 years,Females,100.0
