Year,Geography,Age group,Sex,Value
2017,New Brunswick,50 to 64 years,Males,89.7
2018,New Brunswick,50 to 64 years,Males,88.3
2019,New Brunswick,50 to 64 years,Males,87.9
2020,New Brunswick,50 to 64 years,Males,94.6
2015,New Brunswick,50 to 64 years,Females,85.5
2016,New Brunswick,50 to 64 years,Females,91.7
2017,New Brunswick,50 to 64 years,Females,92.3
2018,New Brunswick,50 to 64 years,Females,92.6
2019,New Brunswick,50 to 64 years,Females,89.2
2020,New Brunswick,50 to 64 years,Females,89.3
2015,New Brunswick,65 years and over,Both sexes,88.4
2016,New Brunswick,65 years and over,Both sexes,89.3
2017,New Brunswick,65 years and over,Both sexes,90.1
2018,New Brunswick,65 years and over,Both sexes,88.6
2019,New Brunswick,65 years and over,Both sexes,91.1
2020,New Brunswick,65 years and over,Both sexes,91.7
2015,New Brunswick,65 years and over,Males,85.1
2016,New Brunswick,65 years and over,Males,90.6
2017,New Brunswick,65 years and over,Males,89.9
2018,New Brunswick,65 years and over,Males,88.1
2019,New Brunswick,65 years and over,Males,92.0
2020,New Brunswick,65 years and over,Males,89.0
2015,New Brunswick,65 years and over,Females,91.0
2016,New Brunswick,65 years and over,Females,88.2
2017,New Brunswick,65 years and over,Females,90.3
2018,New Brunswick,65 years and over,Females,89.0
2019,New Brunswick,65 years and over,Females,90.4
2020,New Brunswick,65 years and over,Females,93.9
2015,Quebec,"Total, 12 years and over",Both sexes,93.5
2016,Quebec,"Total, 12 years and over",Both sexes,93.9
2017,Quebec,"Total, 12 years and over",Both sexes,94.0
2018,Quebec,"Total, 12 years and over",Both sexes,94.3
2019,Quebec,"Total, 12 years and over",Both sexes,95.3
2020,Quebec,"Total, 12 years and over",Both sexes,94.9
2015,Quebec,"Total, 12 years and over",Males,93.7
2016,Quebec,"Total, 12 years and over",Males,93.9
2017,Quebec,"Total, 12 years and over",Males,94.0
2018,Quebec,"Total, 12 years and over",Males,94.7
2019,Quebec,"Total, 12 years and over",Males,95.8
2020,Quebec,"Total, 12 years and over",Males,95.0
2015,Quebec,"Total, 12 years and over",Females,93.2
2016,Quebec,"Total, 12 years and over",Females,93.9
2017,Quebec,"Total, 12 years and over",Females,94.0
2018,Quebec,"Total, 12 years and over",Females,93.9
2019,Quebec,"Total, 12 years and over",Females,94.8
2020,Quebec,"Total, 12 years and over",Females,94.8
2015,Quebec,12 to 17 years,Both sexes,96.4
2016,Quebec,12 to 17 years,Both sexes,96.9
2017,Quebec,12 to 17 years,Both sexes,97.1
2018,Quebec,12 to 17 years,Both sexes,98.3
2019,Quebec,12 to 17 years,Both sexes,98.6
2020,Quebec,12 to 17 years,Both sexes,98.5
2015,Quebec,12 to 17 years,Males,96.4
2016,Quebec,12 to 17 years,Males,96.6
2017,Quebec,12 to 17 years,Males,98.5
2018,Quebec,12 to 17 years,Males,99.3
2019,Quebec,12 to 17 years,Males,99.2
2020,Quebec,12 to 17 years,Males,98.3
2015,Quebec,12 to 17 years,Females,96.3
2016,Quebec,12 to 17 years,Females,97.2
2017,Quebec,12 to 17 years,Females,95.6
2018,Quebec,12 to 17 years,Females,97.3
2019,Quebec,12 to 17 years,Females,98.0
2020,Quebec,12 to 17 years,Females,98.7
2015,Quebec,18 to 34 years,Both sexes,95.8
2016,Quebec,18 to 34 years,Both sexes,96.2
2017,Quebec,18 to 34 years,Both sexes,95.5
2018,Quebec,18 to 34 years,Both sexes,95.9
2019,Quebec,18 to 34 years,Both sexes,97.2
2020,Quebec,18 to 34 years,Both sexes,95.7
2015,Quebec,18 to 34 years,Males,96.1
2016,Quebec,18 to 34 years,Males,95.3
2017,Quebec,18 to 34 years,Males,95.7
2018,Quebec,18 to 34 years,Males,96.4
2019,Quebec,18 to 34 years,Males,98.2
2020,Quebec,18 to 34 years,Males,97.0
2015,Quebec,18 to 34 years,Females,95.4
2016,Quebec,18 to 34 years,Females,97.0
2017,Quebec,18 to 34 years,Females,95.3
2018,Quebec,18 to 34 years,Females,95.5
2019,Quebec,18 to 34 years,Females,96.1
2020,Quebec,18 to 34 years,Females,94.2
2015,Quebec,35 to 49 years,Both sexes,93.7
2016,Quebec,35 to 49 years,Both sexes,93.7
2017,Quebec,35 to 49 years,Both sexes,94.0
2018,Quebec,35 to 49 years,Both sexes,94.3
2019,Quebec,35 to 49 years,Both sexes,96.0
2020,Quebec,35 to 49 years,Both sexes,95.8
2015,Quebec,35 to 49 years,Males,93.5
2016,Quebec,35 to 49 years,Males,93.9
2017,Quebec,35 to 49 years,Males,93.7
2018,Quebec,35 to 49 years,Males,94.3
2019,Quebec,35 to 49 years,Males,96.3
2020,Quebec,35 to 49 years,Males,96.8
2015,Quebec,35 to 49 years,Females,93.9
2016,Quebec,35 to 49 years,Females,93.6
2017,Quebec,35 to 49 years,Females,94.3
2018,Quebec,35 to 49 years,Females,94.4
2019,Quebec,35 to 49 years,Females,95.7
2020,Quebec,35 to 49 years,Females,94.8
2015,Quebec,50 to 64 years,Both sexes,92.4
2016,Quebec,50 to 64 years,Both sexes,92.3
2017,Quebec,50 to 64 years,Both sexes,93.2
2018,Quebec,50 to 64 years,Both sexes,92.6
2019,Quebec,50 to 64 years,Both sexes,93.4
2020,Quebec,50 to 64 years,Both sexes,94.4
2015,Quebec,50 to 64 years,Males,93.1
2016,Quebec,50 to 64 years,Males,92.7
2017,Quebec,50 to 64 years,Males,93.3
2018,Quebec,50 to 64 years,Males,93.2
2019,Quebec,50 to 64 years,Males,93.3
2020,Quebec,50 to 64 years,Males,92.5
2015,Quebec,50 to 64 years,Females,91.6
2016,Quebec,50 to 64 years,Females,92.0
2017,Quebec,50 to 64 years,Females,93.0
2018,Quebec,50 to 64 years,Females,92.1
2019,Quebec,50 to 64 years,Females,93.4
2020,Quebec,50 to 64 years,Females,96.3
2015,Quebec,65 years and over,Both sexes,90.5
2016,Quebec,65 years and over,Both sexes,92.0
2017,Quebec,65 years and over,Both sexes,92.1
2018,Quebec,65 years and over,Both sexes,93.0
2019,Quebec,65 years and over,Both sexes,93.4
2020,Quebec,65 years and over,Both sexes,92.3
2015,Quebec,65 years and over,Males,90.1
2016,Quebec,65 years and over,Males,92.4
2017,Quebec,65 years and over,Males,91.4
2018,Quebec,65 years and over,Males,93.6
2019,Quebec,65 years and over,Males,93.9
2020,Quebec,65 years and over,Males,92.2
2015,Quebec,65 years and over,Females,90.7
2016,Quebec,65 years and over,Females,91.6
2017,Quebec,65 years and over,Females,92.7
2018,Quebec,65 years and over,Females,92.5
2019,Quebec,65 years and over,Females,93.0
2020,Quebec,65 years and over,Females,92.4
2015,Ontario,"Total, 12 years and over",Both sexes,93.3
2016,Ontario,"Total, 12 years and over",Both sexes,91.8
2017,Ontario,"Total, 12 years and over",Both sexes,92.8
2018,Ontario,"Total, 12 years and over",Both sexes,93.5
2019,Ontario,"Total, 12 years and over",Both sexes,92.6
2020,Ontario,"Total, 12 years and over",Both sexes,92.8
2015,Ontario,"Total, 12 years and over",Males,93.6
2016,Ontario,"Total, 12 years and over",Males,91.4
2017,Ontario,"Total, 12 years and over",Males,92.8
2018,Ontario,"Total, 12 years and over",Males,94.3
2019,Ontario,"Total, 12 years and over",Males,92.7
2020,Ontario,"Total, 12 years and over",Males,93.1
2015,Ontario,"Total, 12 years and over",Females,93.0
2016,Ontario,"Total, 12 years and over",Females,92.2
2017,Ontario,"Total, 12 years and over",Females,92.9
2018,Ontario,"Total, 12 years and over",Females,92.8
2019,Ontario,"Total, 12 years and over",Females,92.6
2020,Ontario,"Total, 12 years and over",Females,92.6
2015,Ontario,12 to 17 years,Both sexes,97.5
2016,Ontario,12 to 17 years,Both sexes,97.4
2017,Ontario,12 to 17 years,Both sexes,98.3
2018,Ontario,12 to 17 years,Both sexes,97.6
2019,Ontario,12 to 17 years,Both sexes,96.8
2020,Ontario,12 to 17 years,Both sexes,96.9
2015,Ontario,12 to 17 years,Males,97.7
2016,Ontario,12 to 17 years,Males,97.8
2017,Ontario,12 to 17 years,Males,98.9
2018,Ontario,12 to 17 years,Males,97.1
2019,Ontario,12 to 17 years,Males,97.1
2020,Ontario,12 to 17 years,Males,96.1
2015,Ontario,12 to 17 years,Females,97.4
2016,Ontario,12 to 17 years,Females,96.9
2017,Ontario,12 to 17 years,Females,97.7
2018,Ontario,12 to 17 years,Females,98.2
2019,Ontario,12 to 17 years,Females,96.5
2020,Ontario,12 to 17 years,Females,97.8
2015,Ontario,18 to 34 years,Both sexes,96.6
2016,Ontario,18 to 34 years,Both sexes,93.6
2017,Ontario,18 to 34 years,Both sexes,94.8
2018,Ontario,18 to 34 years,Both sexes,95.2
2019,Ontario,18 to 34 years,Both sexes,94.5
2020,Ontario,18 to 34 years,Both sexes,94.5
2015,Ontario,18 to 34 years,Males,97.2
2016,Ontario,18 to 34 years,Males,91.6
2017,Ontario,18 to 34 years,Males,93.9
2018,Ontario,18 to 34 years,Males,95.7
2019,Ontario,18 to 34 years,Males,94.4
2020,Ontario,18 to 34 years,Males,93.0
2015,Ontario,18 to 34 years,Females,96.0
2016,Ontario,18 to 34 years,Females,95.6
2017,Ontario,18 to 34 years,Females,95.7
2018,Ontario,18 to 34 years,Females,94.7
2019,Ontario,18 to 34 years,Females,94.7
2020,Ontario,18 to 34 years,Females,96.0
2015,Ontario,35 to 49 years,Both sexes,93.2
2016,Ontario,35 to 49 years,Both sexes,92.1
2017,Ontario,35 to 49 years,Both sexes,93.2
2018,Ontario,35 to 49 years,Both sexes,93.3
2019,Ontario,35 to 49 years,Both sexes,93.5
2020,Ontario,35 to 49 years,Both sexes,92.6
2015,Ontario,35 to 49 years,Males,94.1
2016,Ontario,35 to 49 years,Males,92.3
2017,Ontario,35 to 49 years,Males,94.0
2018,Ontario,35 to 49 years,Males,94.3
2019,Ontario,35 to 49 years,Males,93.6
2020,Ontario,35 to 49 years,Males,94.7
2015,Ontario,35 to 49 years,Females,92.4
2016,Ontario,35 to 49 years,Females,91.9
2017,Ontario,35 to 49 years,Females,92.4
2018,Ontario,35 to 49 years,Females,92.4
2019,Ontario,35 to 49 years,Females,93.3
2020,Ontario,35 to 49 years,Females,90.6
2015,Ontario,50 to 64 years,Both sexes,90.9
2016,Ontario,50 to 64 years,Both sexes,89.7
2017,Ontario,50 to 64 years,Both sexes,90.9
2018,Ontario,50 to 64 years,Both sexes,92.2
2019,Ontario,50 to 64 years,Both sexes,90.5
2020,Ontario,50 to 64 years,Both sexes,91.3
2015,Ontario,50 to 64 years,Males,90.4
2016,Ontario,50 to 64 years,Males,90.0
2017,Ontario,50 to 64 years,Males,90.7
2018,Ontario,50 to 64 years,Males,93.0
2019,Ontario,50 to 64 years,Males,89.8
2020,Ontario,50 to 64 years,Males,91.4
2015,Ontario,50 to 64 years,Females,91.4
2016,Ontario,50 to 64 years,Females,89.4
2017,Ontario,50 to 64 years,Females,91.1
2018,Ontario,50 to 64 years,Females,91.3
2019,Ontario,50 to 64 years,Females,91.1
2020,Ontario,50 to 64 years,Females,91.3
2015,Ontario,65 years and over,Both sexes,89.7
2016,Ontario,65 years and over,Both sexes,89.1
2017,Ontario,65 years and over,Both sexes,89.8
2018,Ontario,65 years and over,Both sexes,91.2
2019,Ontario,65 years and over,Both sexes,89.9
2020,Ontario,65 years and over,Both sexes,91.0
2015,Ontario,65 years and over,Males,89.3
2016,Ontario,65 years and over,Males,88.4
2017,Ontario,65 years and over,Males,89.5
2018,Ontario,65 years and over,Males,92.3
2019,Ontario,65 years and over,Males,90.8
2020,Ontario,65 years and over,Males,92.5
2015,Ontario,65 years and over,Females,90.1
2016,Ontario,65 years and over,Females,89.7
2017,Ontario,65 years and over,Females,90.0
2018,Ontario,65 years and over,Females,90.4
2019,Ontario,65 years and over,Females,89.0
2020,Ontario,65 years and over,Females,89.9
2015,Manitoba,"Total, 12 years and over",Both sexes,92.5
2016,Manitoba,"Total, 12 years and over",Both sexes,92.0
2017,Manitoba,"Total, 12 years and over",Both sexes,93.8
2018,Manitoba,"Total, 12 years and over",Both sexes,92.6
2019,Manitoba,"Total, 12 years and over",Both sexes,93.4
2020,Manitoba,"Total, 12 years and over",Both sexes,90.0
2015,Manitoba,"Total, 12 years and over",Males,93.6
2016,Manitoba,"Total, 12 years and over",Males,91.6
2017,Manitoba,"Total, 12 years and over",Males,94.5
2018,Manitoba,"Total, 12 years and over",Males,93.8
2019,Manitoba,"Total, 12 years and over",Males,94.1
2020,Manitoba,"Total, 12 years and over",Males,92.2
2015,Manitoba,"Total, 12 years and over",Females,91.4
2016,Manitoba,"Total, 12 years and over",Females,92.5
2017,Manitoba,"Total, 12 years and over",Females,93.1
2018,Manitoba,"Total, 12 years and over",Females,91.4
2019,Manitoba,"Total, 12 years and over",Females,92.7
2020,Manitoba,"Total, 12 years and over",Females,88.0
2015,Manitoba,12 to 17 years,Both sexes,97.8
2016,Manitoba,12 to 17 years,Both sexes,99.6
2017,Manitoba,12 to 17 years,Both sexes,99.1
2018,Manitoba,12 to 17 years,Both sexes,98.5
2019,Manitoba,12 to 17 years,Both sexes,99.2
2020,Manitoba,12 to 17 years,Both sexes,95.4
2015,Manitoba,12 to 17 years,Males,97.7
2016,Manitoba,12 to 17 years,Males,100.0
2017,Manitoba,12 to 17 years,Males,98.2
2018,Manitoba,12 to 17 years,Males,99.0
2019,Manitoba,12 to 17 years,Males,100.0
2020,Manitoba,12 to 17 years,Males,100.0
2015,Manitoba,12 to 17 years,Females,97.9
2016,Manitoba,12 to 17 years,Females,99.2
2017,Manitoba,12 to 17 years,Females,100.0
2018,Manitoba,12 to 17 years,Females,97.9
2019,Manitoba,12 to 17 years,Females,98.4
2020,Manitoba,12 to 17 years,Females,90.6
2015,Manitoba,18 to 34 years,Both sexes,93.7
2016,Manitoba,18 to 34 years,Both sexes,93.3
2017,Manitoba,18 to 34 years,Both sexes,96.3
2018,Manitoba,18 to 34 years,Both sexes,95.7
2019,Manitoba,18 to 34 years,Both sexes,93.9
2020,Manitoba,18 to 34 years,Both sexes,91.1
2015,Manitoba,18 to 34 years,Males,94.0
2016,Manitoba,18 to 34 years,Males,93.6
2017,Manitoba,18 to 34 years,Males,99.1
2018,Manitoba,18 to 34 years,Males,97.7
2019,Manitoba,18 to 34 years,Males,95.8
2020,Manitoba,18 to 34 years,Males,95.7
2015,Manitoba,18 to 34 years,Females,93.4
2016,Manitoba,18 to 34 years,Females,93.1
2017,Manitoba,18 to 34 years,Females,93.5
2018,Manitoba,18 to 34 years,Females,93.5
2019,Manitoba,18 to 34 years,Females,91.9
2020,Manitoba,18 to 34 years,Females,86.2
2015,Manitoba,35 to 49 years,Both sexes,94.0
2016,Manitoba,35 to 49 years,Both sexes,92.9
2017,Manitoba,35 to 49 years,Both sexes,92.7
2018,Manitoba,35 to 49 years,Both sexes,90.9
2019,Manitoba,35 to 49 years,Both sexes,96.0
2020,Manitoba,35 to 49 years,Both sexes,89.8
2015,Manitoba,35 to 49 years,Males,95.8
2016,Manitoba,35 to 49 years,Males,92.3
2017,Manitoba,35 to 49 years,Males,92.5
2018,Manitoba,35 to 49 years,Males,91.6
2019,Manitoba,35 to 49 years,Males,94.8
2020,Manitoba,35 to 49 years,Males,87.1
2015,Manitoba,35 to 49 years,Females,92.1
2016,Manitoba,35 to 49 years,Females,93.5
2017,Manitoba,35 to 49 years,Females,92.8
2018,Manitoba,35 to 49 years,Females,90.2
2019,Manitoba,35 to 49 years,Females,97.1
2020,Manitoba,35 to 49 years,Females,92.5
2015,Manitoba,50 to 64 years,Both sexes,92.3
2016,Manitoba,50 to 64 years,Both sexes,89.1
2017,Manitoba,50 to 64 years,Both sexes,94.2
2018,Manitoba,50 to 64 years,Both sexes,90.1
2019,Manitoba,50 to 64 years,Both sexes,91.5
2020,Manitoba,50 to 64 years,Both sexes,89.2
2015,Manitoba,50 to 64 years,Males,93.5
2016,Manitoba,50 to 64 years,Males,86.8
2017,Manitoba,50 to 64 years,Males,93.4
2018,Manitoba,50 to 64 years,Males,89.9
2019,Manitoba,50 to 64 years,Males,93.4
2020,Manitoba,50 to 64 years,Males,91.3
2015,Manitoba,50 to 64 years,Females,91.1
2016,Manitoba,50 to 64 years,Females,91.4
2017,Manitoba,50 to 64 years,Females,94.9
2018,Manitoba,50 to 64 years,Females,90.3
2019,Manitoba,50 to 64 years,Females,89.5
2020,Manitoba,50 to 64 years,Females,87.1
2015,Manitoba,65 years and over,Both sexes,85.9
2016,Manitoba,65 years and over,Both sexes,89.0
2017,Manitoba,65 years and over,Both sexes,88.1
2018,Manitoba,65 years and over,Both sexes,90.3
2019,Manitoba,65 years and over,Both sexes,89.1
2020,Manitoba,65 years and over,Both sexes,87.3
2015,Manitoba,65 years and over,Males,86.9
2016,Manitoba,65 years and over,Males,89.7
2017,Manitoba,65 years and over,Males,88.7
2018,Manitoba,65 years and over,Males,92.7
2019,Manitoba,65 years and over,Males,88.3
2020,Manitoba,65 years and over,Males,90.3
2015,Manitoba,65 years and over,Females,85.1
2016,Manitoba,65 years and over,Females,88.5
2017,Manitoba,65 years and over,Females,87.7
2018,Manitoba,65 years and over,Females,88.3
2019,Manitoba,65 years and over,Females,89.9
2020,Manitoba,65 years and over,Females,84.8
2015,Saskatchewan,"Total, 12 years and over",Both sexes,92.6
2016,Saskatchewan,"Total, 12 years and over",Both sexes,95.1
2017,Saskatchewan,"Total, 12 years and over",Both sexes,91.9
2018,Saskatchewan,"Total, 12 years and over",Both sexes,93.5
2019,Saskatchewan,"Total, 12 years and over",Both sexes,94.2
2020,Saskatchewan,"Total, 12 years and over",Both sexes,95.1
2015,Saskatchewan,"Total, 12 years and over",Males,93.6
2016,Saskatchewan,"Total, 12 years and over",Males,96.0
2017,Saskatchewan,"Total, 12 years and over",Males,91.8
2018,Saskatchewan,"Total, 12 years and over",Males,93.8
2019,Saskatchewan,"Total, 12 years and over",Males,93.5
2020,Saskatchewan,"Total, 12 years and over",Males,95.2
2015,Saskatchewan,"Total, 12 years and over",Females,91.6
2016,Saskatchewan,"Total, 12 years and over",Females,94.2
2017,Saskatchewan,"Total, 12 years and over",Females,92.0
2018,Saskatchewan,"Total, 12 years and over",Females,93.2
2019,Saskatchewan,"Total, 12 years and over",Females,95.0
2020,Saskatchewan,"Total, 12 years and over",Females,95.0
2015,Saskatchewan,12 to 17 years,Both sexes,99.8
2016,Saskatchewan,12 to 17 years,Both sexes,98.2
2017,Saskatchewan,12 to 17 years,Both sexes,94.1
2018,Saskatchewan,12 to 17 years,Both sexes,96.0
2019,Saskatchewan,12 to 17 years,Both sexes,99.0
2020,Saskatchewan,12 to 17 years,Both sexes,99.9
2015,Saskatchewan,12 to 17 years,Males,99.5
2016,Saskatchewan,12 to 17 years,Males,96.9
2017,Saskatchewan,12 to 17 years,Males,99.6
2018,Saskatchewan,12 to 17 years,Males,97.8
2019,Saskatchewan,12 to 17 years,Males,98.6
2020,Saskatchewan,12 to 17 years,Males,100.0
2015,Saskatchewan,12 to 17 years,Females,100.0
2016,Saskatchewan,12 to 17 years,Females,99.6
2017,Saskatchewan,12 to 17 years,Females,88.3
2018,Saskatchewan,12 to 17 years,Females,94.1
2019,Saskatchewan,12 to 17 years,Females,99.5
2020,Saskatchewan,12 to 17 years,Females,99.8
2015,Saskatchewan,18 to 34 years,Both sexes,96.2
2016,Saskatchewan,18 to 34 years,Both sexes,97.1
2017,Saskatchewan,18 to 34 years,Both sexes,93.5
2018,Saskatchewan,18 to 34 years,Both sexes,96.6
2019,Saskatchewan,18 to 34 years,Both sexes,97.0
2020,Saskatchewan,18 to 34 years,Both sexes,96.9
2015,Saskatchewan,18 to 34 years,Males,96.0
2016,Saskatchewan,18 to 34 years,Males,96.3
2017,Saskatchewan,18 to 34 years,Males,92.6
2018,Saskatchewan,18 to 34 years,Males,96.2
2019,Saskatchewan,18 to 34 years,Males,96.1
2020,Saskatchewan,18 to 34 years,Males,95.6
2015,Saskatchewan,18 to 34 years,Females,96.4
2016,Saskatchewan,18 to 34 years,Females,97.8
2017,Saskatchewan,18 to 34 years,Females,94.5
2018,Saskatchewan,18 to 34 years,Females,97.0
2019,Saskatchewan,18 to 34 years,Females,97.9
2020,Saskatchewan,18 to 34 years,Females,98.2
2015,Saskatchewan,35 to 49 years,Both sexes,91.6
2016,Saskatchewan,35 to 49 years,Both sexes,95.7
2017,Saskatchewan,35 to 49 years,Both sexes,92.1
2018,Saskatchewan,35 to 49 years,Both sexes,91.3
2019,Saskatchewan,35 to 49 years,Both sexes,95.7
2020,Saskatchewan,35 to 49 years,Both sexes,96.8
2015,Saskatchewan,35 to 49 years,Males,91.8
2016,Saskatchewan,35 to 49 years,Males,97.8
2017,Saskatchewan,35 to 49 years,Males,91.3
2018,Saskatchewan,35 to 49 years,Males,92.4
2019,Saskatchewan,35 to 49 years,Males,96.0
2020,Saskatchewan,35 to 49 years,Males,98.6
2015,Saskatchewan,35 to 49 years,Females,91.3
2016,Saskatchewan,35 to 49 years,Females,93.6
2017,Saskatchewan,35 to 49 years,Females,92.9
2018,Saskatchewan,35 to 49 years,Females,90.2
2019,Saskatchewan,35 to 49 years,Females,95.3
2020,Saskatchewan,35 to 49 years,Females,95.0
2015,Saskatchewan,50 to 64 years,Both sexes,90.0
2016,Saskatchewan,50 to 64 years,Both sexes,93.1
2017,Saskatchewan,50 to 64 years,Both sexes,90.1
2018,Saskatchewan,50 to 64 years,Both sexes,95.2
2019,Saskatchewan,50 to 64 years,Both sexes,91.5
2020,Saskatchewan,50 to 64 years,Both sexes,91.9
2015,Saskatchewan,50 to 64 years,Males,91.4
2016,Saskatchewan,50 to 64 years,Males,96.3
2017,Saskatchewan,50 to 64 years,Males,90.4
2018,Saskatchewan,50 to 64 years,Males,94.8
2019,Saskatchewan,50 to 64 years,Males,88.1
2020,Saskatchewan,50 to 64 years,Males,91.5
2015,Saskatchewan,50 to 64 years,Females,88.5
2016,Saskatchewan,50 to 64 years,Females,89.8
2017,Saskatchewan,50 to 64 years,Females,89.8
2018,Saskatchewan,50 to 64 years,Females,95.7
2019,Saskatchewan,50 to 64 years,Females,94.9
2020,Saskatchewan,50 to 64 years,Females,92.3
2015,Saskatchewan,65 years and over,Both sexes,88.0
2016,Saskatchewan,65 years and over,Both sexes,92.2
2017,Saskatchewan,65 years and over,Both sexes,90.1
2018,Saskatchewan,65 years and over,Both sexes,87.9
2019,Saskatchewan,65 years and over,Both sexes,89.1
2020,Saskatchewan,65 years and over,Both sexes,92.0
2015,Saskatchewan,65 years and over,Males,92.1
2016,Saskatchewan,65 years and over,Males,91.4
2017,Saskatchewan,65 years and over,Males,88.9
2018,Saskatchewan,65 years and over,Males,88.2
2019,Saskatchewan,65 years and over,Males,89.9
2020,Saskatchewan,65 years and over,Males,92.2
2015,Saskatchewan,65 years and over,Females,84.5
2016,Saskatchewan,65 years and over,Females,92.8
2017,Saskatchewan,65 years and over,Females,91.1
2018,Saskatchewan,65 years and over,Females,87.7
2019,Saskatchewan,65 years and over,Females,88.4
2020,Saskatchewan,65 years and over,Females,91.9
2015,Alberta,"Total, 12 years and over",Both sexes,93.8
2016,Alberta,"Total, 12 years and over",Both sexes,92.9
2017,Alberta,"Total, 12 years and over",Both sexes,92.6
2018,Alberta,"Total, 12 years and over",Both sexes,93.3
2019,Alberta,"Total, 12 years and over",Both sexes,93.0
2020,Alberta,"Total, 12 years and over",Both sexes,93.0
2015,Alberta,"Total, 12 years and over",Males,94.0
2016,Alberta,"Total, 12 years and over",Males,93.3
2017,Alberta,"Total, 12 years and over",Males,92.1
2018,Alberta,"Total, 12 years and over",Males,93.6
2019,Alberta,"Total, 12 years and over",Males,93.0
2020,Alberta,"Total, 12 years and over",Males,92.7
2015,Alberta,"Total, 12 years and over",Females,93.6
2016,Alberta,"Total, 12 years and over",Females,92.5
2017,Alberta,"Total, 12 years and over",Females,93.0
2018,Alberta,"Total, 12 years and over",Females,92.9
2019,Alberta,"Total, 12 years and over",Females,93.1
2020,Alberta,"Total, 12 years and over",Females,93.3
2015,Alberta,12 to 17 years,Both sexes,98.1
2016,Alberta,12 to 17 years,Both sexes,97.7
2017,Alberta,12 to 17 years,Both sexes,98.7
2018,Alberta,12 to 17 years,Both sexes,97.3
2019,Alberta,12 to 17 years,Both sexes,98.8
2020,Alberta,12 to 17 years,Both sexes,94.8
2015,Alberta,12 to 17 years,Males,98.1
2016,Alberta,12 to 17 years,Males,97.6
2017,Alberta,12 to 17 years,Males,98.3
2018,Alberta,12 to 17 years,Males,98.5
2019,Alberta,12 to 17 years,Males,99.6
2020,Alberta,12 to 17 years,Males,96.2
2015,Alberta,12 to 17 years,Females,98.0
2016,Alberta,12 to 17 years,Females,97.8
2017,Alberta,12 to 17 years,Females,99.2
2018,Alberta,12 to 17 years,Females,96.1
2019,Alberta,12 to 17 years,Females,97.8
2020,Alberta,12 to 17 years,Females,93.3
2015,Alberta,18 to 34 years,Both sexes,96.7
2016,Alberta,18 to 34 years,Both sexes,94.9
2017,Alberta,18 to 34 years,Both sexes,93.9
2018,Alberta,18 to 34 years,Both sexes,96.4
2019,Alberta,18 to 34 years,Both sexes,94.3
2020,Alberta,18 to 34 years,Both sexes,94.7
2015,Alberta,18 to 34 years,Males,96.4
2016,Alberta,18 to 34 years,Males,94.4
2017,Alberta,18 to 34 years,Males,93.2
2018,Alberta,18 to 34 years,Males,96.9
2019,Alberta,18 to 34 years,Males,93.7
2020,Alberta,18 to 34 years,Males,92.9
2015,Alberta,18 to 34 years,Females,97.1
2016,Alberta,18 to 34 years,Females,95.4
2017,Alberta,18 to 34 years,Females,94.7
2018,Alberta,18 to 34 years,Females,95.9
2019,Alberta,18 to 34 years,Females,94.8
2020,Alberta,18 to 34 years,Females,96.6
2015,Alberta,35 to 49 years,Both sexes,94.8
2016,Alberta,35 to 49 years,Both sexes,93.5
2017,Alberta,35 to 49 years,Both sexes,93.6
2018,Alberta,35 to 49 years,Both sexes,91.3
2019,Alberta,35 to 49 years,Both sexes,92.0
2020,Alberta,35 to 49 years,Both sexes,94.0
2015,Alberta,35 to 49 years,Males,95.4
2016,Alberta,35 to 49 years,Males,94.5
2017,Alberta,35 to 49 years,Males,93.0
2018,Alberta,35 to 49 years,Males,92.0
2019,Alberta,35 to 49 years,Males,92.4
2020,Alberta,35 to 49 years,Males,92.9
2015,Alberta,35 to 49 years,Females,94.2
2016,Alberta,35 to 49 years,Females,92.4
2017,Alberta,35 to 49 years,Females,94.3
2018,Alberta,35 to 49 years,Females,90.6
2019,Alberta,35 to 49 years,Females,91.5
2020,Alberta,35 to 49 years,Females,95.2
2015,Alberta,50 to 64 years,Both sexes,89.1
2016,Alberta,50 to 64 years,Both sexes,88.8
2017,Alberta,50 to 64 years,Both sexes,89.3
2018,Alberta,50 to 64 years,Both sexes,91.3
2019,Alberta,50 to 64 years,Both sexes,92.3
2020,Alberta,50 to 64 years,Both sexes,90.6
2015,Alberta,50 to 64 years,Males,88.3
2016,Alberta,50 to 64 years,Males,90.0
2017,Alberta,50 to 64 years,Males,88.8
2018,Alberta,50 to 64 years,Males,91.4
2019,Alberta,50 to 64 years,Males,92.1
2020,Alberta,50 to 64 years,Males,91.3
2015,Alberta,50 to 64 years,Females,90.1
2016,Alberta,50 to 64 years,Females,87.6
2017,Alberta,50 to 64 years,Females,89.9
2018,Alberta,50 to 64 years,Females,91.2
2019,Alberta,50 to 64 years,Females,92.5
2020,Alberta,50 to 64 years,Females,89.9
2015,Alberta,65 years and over,Both sexes,90.2
2016,Alberta,65 years and over,Both sexes,91.1
2017,Alberta,65 years and over,Both sexes,89.3
2018,Alberta,65 years and over,Both sexes,91.1
2019,Alberta,65 years and over,Both sexes,90.6
2020,Alberta,65 years and over,Both sexes,90.6
2015,Alberta,65 years and over,Males,92.5
2016,Alberta,65 years and over,Males,91.0
2017,Alberta,65 years and over,Males,89.7
