Year,Industries,Environmental protection activities or management practices,Value
2018,Transportation equipment manufacturing,Air pollution management,28.1
2018,Transportation equipment manufacturing,"Protection and remediation of soil, groundwater and surface water",12.1
2018,Transportation equipment manufacturing,Protection of biodiversity and habitat,5.6
2018,Transportation equipment manufacturing,Noise and vibration abatement,11.8
2018,Plastics and rubber products manufacturing,"Total, environmental protection activities",93.4
2018,Plastics and rubber products manufacturing,Wastewater management,62.9
2018,Plastics and rubber products manufacturing,Air pollution management,16.4
2018,Plastics and rubber products manufacturing,"Protection and remediation of soil, groundwater and surface water",4.0
2018,Plastics and rubber products manufacturing,Protection of biodiversity and habitat,0.0
2018,Plastics and rubber products manufacturing,Noise and vibration abatement,4.7
2018,Machinery manufacturing,"Total, environmental protection activities",93.3
2018,Machinery manufacturing,Wastewater management,62.4
2018,Machinery manufacturing,Air pollution management,17.6
2018,Machinery manufacturing,"Protection and remediation of soil, groundwater and surface water",10.3
2018,Machinery manufacturing,Protection of biodiversity and habitat,3.1
2018,Machinery manufacturing,Noise and vibration abatement,5.9
2018,Furniture and related product manufacturing,"Total, environmental protection activities",93.5
2018,Furniture and related product manufacturing,Wastewater management,61.1
2018,Furniture and related product manufacturing,Air pollution management,18.9
2018,Furniture and related product manufacturing,"Protection and remediation of soil, groundwater and surface water",6.0
2018,Furniture and related product manufacturing,Protection of biodiversity and habitat,5.6
2018,Furniture and related product manufacturing,Noise and vibration abatement,13.2
2018,Other manufacturing industries,"Total, environmental protection activities",87.0
2018,Other manufacturing industries,Wastewater management,57.6
2018,Other manufacturing industries,Air pollution management,10.9
2018,Other manufacturing industries,"Protection and remediation of soil, groundwater and surface water",1.6
2018,Other manufacturing industries,Protection of biodiversity and habitat,2.3
2018,Other manufacturing industries,Noise and vibration abatement,4.2
2018,Pipeline transportation,"Total, environmental protection activities",86.9
2018,Pipeline transportation,Wastewater management,65.6
2018,Pipeline transportation,Air pollution management,59.0
2018,Pipeline transportation,"Protection and remediation of soil, groundwater and surface water",75.4
2018,Pipeline transportation,Protection of biodiversity and habitat,67.2
2018,Pipeline transportation,Noise and vibration abatement,50.8
2019,"Total, industries",Wastewater management,60.7
2019,"Total, industries",Air pollution management,16.4
2019,"Total, industries","Protection and remediation of soil, groundwater and surface water",7.9
2019,"Total, industries",Protection of biodiversity and habitat,5.5
2019,"Total, industries",Noise and vibration abatement,6.2
2019,Logging (except contract),"Total, environmental protection activities",68.3
2019,Logging (except contract),Wastewater management,54.8
2019,Logging (except contract),Air pollution management,0.4
2019,Logging (except contract),"Protection and remediation of soil, groundwater and surface water",8.3
2019,Logging (except contract),Protection of biodiversity and habitat,35.4
2019,Logging (except contract),Noise and vibration abatement,27.8
2019,Oil and gas extraction,"Total, environmental protection activities",79.2
2019,Oil and gas extraction,Wastewater management,69.4
2019,Oil and gas extraction,Air pollution management,47.7
2019,Oil and gas extraction,"Protection and remediation of soil, groundwater and surface water",56.2
2019,Oil and gas extraction,Protection of biodiversity and habitat,30.3
2019,Oil and gas extraction,Noise and vibration abatement,19.1
2019,Mining and quarrying,"Total, environmental protection activities",99.0
2019,Mining and quarrying,Wastewater management,89.8
2019,Mining and quarrying,Air pollution management,63.3
2019,Mining and quarrying,"Protection and remediation of soil, groundwater and surface water",72.4
2019,Mining and quarrying,Protection of biodiversity and habitat,58.2
2019,Mining and quarrying,Noise and vibration abatement,22.4
2019,"Electric power generation, transmission and distribution","Total, environmental protection activities",85.0
2019,"Electric power generation, transmission and distribution",Wastewater management,57.5
2019,"Electric power generation, transmission and distribution",Air pollution management,25.8
2019,"Electric power generation, transmission and distribution","Protection and remediation of soil, groundwater and surface water",32.4
2019,"Electric power generation, transmission and distribution",Protection of biodiversity and habitat,40.1
2019,"Electric power generation, transmission and distribution",Noise and vibration abatement,19.8
2019,Natural gas distribution,"Total, environmental protection activities",67.6
2019,Natural gas distribution,Wastewater management,55.9
2019,Natural gas distribution,Air pollution management,55.9
2019,Natural gas distribution,"Protection and remediation of soil, groundwater and surface water",47.1
2019,Natural gas distribution,Protection of biodiversity and habitat,41.2
2019,Natural gas distribution,Noise and vibration abatement,38.2
2019,Food manufacturing,"Total, environmental protection activities",96.4
2019,Food manufacturing,Wastewater management,82.8
2019,Food manufacturing,Air pollution management,13.0
2019,Food manufacturing,"Protection and remediation of soil, groundwater and surface water",7.0
2019,Food manufacturing,Protection of biodiversity and habitat,6.4
2019,Food manufacturing,Noise and vibration abatement,9.3
2019,Beverage and tobacco product manufacturing,"Total, environmental protection activities",92.4
2019,Beverage and tobacco product manufacturing,Wastewater management,78.0
2019,Beverage and tobacco product manufacturing,Air pollution management,8.9
2019,Beverage and tobacco product manufacturing,"Protection and remediation of soil, groundwater and surface water",2.4
2019,Beverage and tobacco product manufacturing,Protection of biodiversity and habitat,2.3
2019,Beverage and tobacco product manufacturing,Noise and vibration abatement,2.4
2019,Wood product manufacturing,"Total, environmental protection activities",91.6
2019,Wood product manufacturing,Wastewater management,61.5
2019,Wood product manufacturing,Air pollution management,22.0
2019,Wood product manufacturing,"Protection and remediation of soil, groundwater and surface water",20.2
2019,Wood product manufacturing,Protection of biodiversity and habitat,5.1
2019,Wood product manufacturing,Noise and vibration abatement,2.2
2019,Paper manufacturing,"Total, environmental protection activities",97.4
2019,Paper manufacturing,Wastewater management,87.1
2019,Paper manufacturing,Air pollution management,38.2
2019,Paper manufacturing,"Protection and remediation of soil, groundwater and surface water",37.7
2019,Paper manufacturing,Protection of biodiversity and habitat,13.0
2019,Paper manufacturing,Noise and vibration abatement,12.2
2019,Petroleum and coal product manufacturing,"Total, environmental protection activities",100.0
2019,Petroleum and coal product manufacturing,Wastewater management,93.3
2019,Petroleum and coal product manufacturing,Air pollution management,76.7
2019,Petroleum and coal product manufacturing,"Protection and remediation of soil, groundwater and surface water",70.0
2019,Petroleum and coal product manufacturing,Protection of biodiversity and habitat,40.0
2019,Petroleum and coal product manufacturing,Noise and vibration abatement,43.3
2019,Chemical manufacturing,"Total, environmental protection activities",96.9
2019,Chemical manufacturing,Wastewater management,76.0
2019,Chemical manufacturing,Air pollution management,46.7
2019,Chemical manufacturing,"Protection and remediation of soil, groundwater and surface water",21.8
2019,Chemical manufacturing,Protection of biodiversity and habitat,11.3
2019,Chemical manufacturing,Noise and vibration abatement,9.8
2019,Non-metallic mineral product manufacturing,"Total, environmental protection activities",86.5
2019,Non-metallic mineral product manufacturing,Wastewater management,65.9
2019,Non-metallic mineral product manufacturing,Air pollution management,43.0
2019,Non-metallic mineral product manufacturing,"Protection and remediation of soil, groundwater and surface water",13.2
2019,Non-metallic mineral product manufacturing,Protection of biodiversity and habitat,6.0
2019,Non-metallic mineral product manufacturing,Noise and vibration abatement,9.1
2019,Primary metal manufacturing,"Total, environmental protection activities",96.4
2019,Primary metal manufacturing,Wastewater management,88.6
2019,Primary metal manufacturing,Air pollution management,66.3
2019,Primary metal manufacturing,"Protection and remediation of soil, groundwater and surface water",45.6
2019,Primary metal manufacturing,Protection of biodiversity and habitat,14.6
2019,Primary metal manufacturing,Noise and vibration abatement,23.8
2019,Fabricated metal product manufacturing,"Total, environmental protection activities",84.3
2019,Fabricated metal product manufacturing,Wastewater management,56.9
2019,Fabricated metal product manufacturing,Air pollution management,12.8
2019,Fabricated metal product manufacturing,"Protection and remediation of soil, groundwater and surface water",0.6
2019,Fabricated metal product manufacturing,Protection of biodiversity and habitat,0.2
2019,Fabricated metal product manufacturing,Noise and vibration abatement,0.9
2019,Transportation equipment manufacturing,"Total, environmental protection activities",92.4
2019,Transportation equipment manufacturing,Wastewater management,66.4
2019,Transportation equipment manufacturing,Air pollution management,23.5
2019,Transportation equipment manufacturing,"Protection and remediation of soil, groundwater and surface water",14.0
2019,Transportation equipment manufacturing,Protection of biodiversity and habitat,4.4
2019,Transportation equipment manufacturing,Noise and vibration abatement,8.8
2019,Plastics and rubber products manufacturing,"Total, environmental protection activities",97.7
2019,Plastics and rubber products manufacturing,Wastewater management,67.9
2019,Plastics and rubber products manufacturing,Air pollution management,15.0
