Year,Geography,Industry,Value
2014,Northwest Territories,"Total, all clean technology industries",312.0
2015,Northwest Territories,"Total, all clean technology industries",753.0
2016,Northwest Territories,"Total, all clean technology industries",589.0
2017,Northwest Territories,"Total, all clean technology industries",192.0
2018,Northwest Territories,"Total, all clean technology industries",172.0
2019,Northwest Territories,"Total, all clean technology industries",184.0
2007,Northwest Territories,Engineering construction,
2008,Northwest Territories,Engineering construction,
2009,Northwest Territories,Engineering construction,
2010,Northwest Territories,Engineering construction,
2011,Northwest Territories,Engineering construction,
2012,Northwest Territories,Engineering construction,22.0
2013,Northwest Territories,Engineering construction,20.0
2014,Northwest Territories,Engineering construction,204.0
2015,Northwest Territories,Engineering construction,609.0
2016,Northwest Territories,Engineering construction,447.0
2017,Northwest Territories,Engineering construction,85.0
2018,Northwest Territories,Engineering construction,52.0
2019,Northwest Territories,Engineering construction,59.0
2007,Northwest Territories,Manufacturing,
2008,Northwest Territories,Manufacturing,
2009,Northwest Territories,Manufacturing,
2010,Northwest Territories,Manufacturing,
2011,Northwest Territories,Manufacturing,
2012,Northwest Territories,Manufacturing,
2013,Northwest Territories,Manufacturing,
2014,Northwest Territories,Manufacturing,
2015,Northwest Territories,Manufacturing,
2016,Northwest Territories,Manufacturing,
2017,Northwest Territories,Manufacturing,
2018,Northwest Territories,Manufacturing,
2019,Northwest Territories,Manufacturing,
2007,Northwest Territories,"Professional, scientific and technical services",
2008,Northwest Territories,"Professional, scientific and technical services",
2009,Northwest Territories,"Professional, scientific and technical services",
2010,Northwest Territories,"Professional, scientific and technical services",
2011,Northwest Territories,"Professional, scientific and technical services",
2012,Northwest Territories,"Professional, scientific and technical services",27.0
2013,Northwest Territories,"Professional, scientific and technical services",28.0
2014,Northwest Territories,"Professional, scientific and technical services",43.0
2015,Northwest Territories,"Professional, scientific and technical services",57.0
2016,Northwest Territories,"Professional, scientific and technical services",50.0
2017,Northwest Territories,"Professional, scientific and technical services",27.0
2018,Northwest Territories,"Professional, scientific and technical services",38.0
2019,Northwest Territories,"Professional, scientific and technical services",40.0
2007,Northwest Territories,Other industries,
2008,Northwest Territories,Other industries,
2009,Northwest Territories,Other industries,
2010,Northwest Territories,Other industries,
2011,Northwest Territories,Other industries,
2012,Northwest Territories,Other industries,52.0
2013,Northwest Territories,Other industries,63.0
2014,Northwest Territories,Other industries,65.0
2015,Northwest Territories,Other industries,87.0
2016,Northwest Territories,Other industries,92.0
2017,Northwest Territories,Other industries,80.0
2018,Northwest Territories,Other industries,82.0
2019,Northwest Territories,Other industries,85.0
2007,Nunavut,"Total, all clean technology industries",
2008,Nunavut,"Total, all clean technology industries",
2009,Nunavut,"Total, all clean technology industries",
2010,Nunavut,"Total, all clean technology industries",
2011,Nunavut,"Total, all clean technology industries",
2012,Nunavut,"Total, all clean technology industries",82.0
2013,Nunavut,"Total, all clean technology industries",67.0
2014,Nunavut,"Total, all clean technology industries",189.0
2015,Nunavut,"Total, all clean technology industries",74.0
2016,Nunavut,"Total, all clean technology industries",129.0
2017,Nunavut,"Total, all clean technology industries",83.0
2018,Nunavut,"Total, all clean technology industries",104.0
2019,Nunavut,"Total, all clean technology industries",85.0
2007,Nunavut,Engineering construction,
2008,Nunavut,Engineering construction,
2009,Nunavut,Engineering construction,
2010,Nunavut,Engineering construction,
2011,Nunavut,Engineering construction,
2012,Nunavut,Engineering construction,32.0
2013,Nunavut,Engineering construction,14.0
2014,Nunavut,Engineering construction,126.0
2015,Nunavut,Engineering construction,13.0
2016,Nunavut,Engineering construction,57.0
2017,Nunavut,Engineering construction,15.0
2018,Nunavut,Engineering construction,45.0
2019,Nunavut,Engineering construction,22.0
2007,Nunavut,Manufacturing,
2008,Nunavut,Manufacturing,
2009,Nunavut,Manufacturing,
2010,Nunavut,Manufacturing,
2011,Nunavut,Manufacturing,
2012,Nunavut,Manufacturing,
2013,Nunavut,Manufacturing,
2014,Nunavut,Manufacturing,
2015,Nunavut,Manufacturing,
2016,Nunavut,Manufacturing,
2017,Nunavut,Manufacturing,
2018,Nunavut,Manufacturing,
2019,Nunavut,Manufacturing,
2007,Nunavut,"Professional, scientific and technical services",
2008,Nunavut,"Professional, scientific and technical services",
2009,Nunavut,"Professional, scientific and technical services",
2010,Nunavut,"Professional, scientific and technical services",
2011,Nunavut,"Professional, scientific and technical services",
2012,Nunavut,"Professional, scientific and technical services",9.0
2013,Nunavut,"Professional, scientific and technical services",8.0
2014,Nunavut,"Professional, scientific and technical services",13.0
2015,Nunavut,"Professional, scientific and technical services",14.0
2016,Nunavut,"Professional, scientific and technical services",17.0
2017,Nunavut,"Professional, scientific and technical services",11.0
2018,Nunavut,"Professional, scientific and technical services",
2019,Nunavut,"Professional, scientific and technical services",
2007,Nunavut,Other industries,
2008,Nunavut,Other industries,
2009,Nunavut,Other industries,
2010,Nunavut,Other industries,
2011,Nunavut,Other industries,
2012,Nunavut,Other industries,41.0
2013,Nunavut,Other industries,45.0
2014,Nunavut,Other industries,50.0
2015,Nunavut,Other industries,47.0
2016,Nunavut,Other industries,55.0
2017,Nunavut,Other industries,57.0
2018,Nunavut,Other industries,59.0
2019,Nunavut,Other industries,63.0
