Value,Disaggregation combinations using this value,Number of indicators
"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",1,1
College/CEGEP/other non-university,1,1
High school diploma or a high school equivalency certificate,1,1
Less than high school diploma or its equivalent,1,1
Trades certificate or diploma,1,1
"University certificate, diploma, degree above the BA",1,1
University certificate or diploma below the bachelor,1,1
