Indicator,Disaggregation combinations using this value
#10-2-1,1
#3-1-1,18
#3-13-1,1
#3-15-1,3
#3-4-1,5
#3-7-1,21
#3-9-1,14
#4-3-1,1
#8-2-1,76
#9-6-1,4
#9-7-1,58
