Indicator
#1-2-1
#1-4-1
#10-1-1
#11-5-1
#11-6-1
#16-2-1
#16-4-1
#16-5-1
#16-6-1
#4-2-1
#6-1-1
#6-4-1
#7-3-1
#8-3-1
#8-5-1
#8-6-1
#9-2-1
#9-3-1
#9-4-1
#9-5-1
