Value,Disaggregation combinations using this value,Number of indicators
data.Arab,8,1
data.Black,8,1
data.Chinese,8,1
data.Filipino,8,1
data.Latin American,8,1
data.Not a visible minority,8,1
data.South Asian,8,1
data.Southeast Asian,8,1
data.Total population,8,1
data.Total visible minority population,8,1
