Value,Disaggregation combinations using this value,Number of indicators
data.Agriculture,60,1
data.Forestry,60,1
data.Mining,60,1
data.Mixed pressures,60,1
data.Populated,60,1
data.Total,60,1
data.Undeveloped,60,1
