Value,Disaggregation combinations using this value,Number of indicators
12 to 15 years,280,1
16 and 17 years,280,1
18 to 24 years,336,1
25 to 34 years,336,1
35 to 44 years,336,1
45 to 54 years,336,1
55 years and over,336,1
Age not applicable,140,1
Other ages,280,1
Total,768,1
