Indicator,Disaggregation combinations using this value
#1-2-1,29
#1-4-1,19
#11-5-1,8
#11-6-1,2
#16-2-1,13
#16-5-1,298
#4-2-1,74
#6-4-1,70
#8-3-1,17
#9-3-1,5
#9-4-1,6
#9-5-1,12
