Indicator,Disaggregation combinations using this value
#1-1-1,34
#1-2-1,30
#10-1-1,1
#10-2-1,1
#10-3-1,132
#10-4-1,20
#11-4-1,1
#11-5-1,9
#11-6-1,3
#11-7-1,18
#12-1-1,1
#12-3-1,45
#13-3-1,64
#16-2-1,4
#16-5-1,300
#16-6-1,1
#2-1-1,100
#3-1-1,18
#3-12-1,9
#3-13-1,18
#3-2-1,28
#3-4-1,18
#3-5-1,18
#3-6-1,18
#3-7-1,18
#3-8-1,11
#4-1-1,165
#4-2-1,75
#5-3-1,120
#6-1-1,1
#6-2-1,1
#7-2-1,105
#7-3-1,5
#8-1-1,89
#8-2-1,1
#8-3-1,18
#8-4-1,27
#8-5-1,1
#9-2-1,1
#9-3-1,5
#9-4-1,7
#9-5-1,13
