Value,Disaggregation combinations using this value,Number of indicators
data.Air pollution management,21,1
data.Noise and vibration abatement,21,1
"data.Protection and remediation of soil, groundwater and surface water",21,1
data.Protection of biodiversity and habitat,21,1
data.Sold carbon offset credits only or sold more than purchased,21,1
"data.Total, environmental protection activities",20,1
data.Wastewater management,21,1
