Indicator,Disaggregation combinations using this value
#11-7-1,65
#3-1-1,65
#3-10-1,100
#3-13-1,65
#3-2-1,98
#3-3-1,16
#3-4-1,65
#3-5-1,65
#3-6-1,65
#3-7-1,65
#4-1-1,769
#4-2-1,377
#5-3-1,240
#8-1-1,244
#8-3-1,83
#8-4-1,98
