Indicator,Disaggregation combinations using this value
#11-4-1,1026
#11-5-1,171
#3-9-1,2
#4-1-1,420
#4-2-1,336
#5-4-1,240
#8-1-1,444
#8-2-1,714
#8-4-1,99
