Value,Disaggregation combinations using this value,Number of indicators
data.Agriculture,13,1
data.Buildings,14,1
data.Heavy Industry,14,1
"data.Light Manufacturing, Construction and Forest Resources",14,1
data.Oil and Gas,13,1
data.Provincial Inventory Total,10,1
data.Territorial Inventory Total,3,1
data.Transport,14,1
data.Waste,14,1
