Indicator,Disaggregation combinations using this value
#1-1-1,12
#10-2-1,1
#11-2-1,49
#11-4-1,1
#12-1-1,1
#12-2-1,7
#12-3-1,54
#12-4-1,8
#13-1-1,8
#13-4-1,1
#15-4-1,1
#16-3-1,1
#2-1-1,348
#3-1-1,18
#3-13-1,1
#3-15-1,3
#3-2-1,1
#3-4-1,5
#3-7-1,21
#3-9-1,15
#4-1-1,225
#4-3-1,1
#5-2-1,95
#5-4-1,24
#8-2-1,244
#9-1-1,256
#9-6-1,6
#9-7-1,60
