Value,Disaggregation combinations using this value,Number of indicators
"Food insecure, marginal",754,1
"Food insecure, moderate or severe",715,1
"Food insecure, moderate",754,1
"Food insecure, severe",754,1
Food insecure,757,1
Food secure,757,1
