Indicator,Disaggregation combinations using this value
#1-1-1,27
#1-2-1,30
#10-1-1,1
#10-2-1,1
#10-3-1,132
#10-4-1,20
#11-4-1,1
#11-5-1,2
#11-6-1,3
#11-7-1,18
#12-1-1,1
#12-3-1,45
#13-1-1,9
#13-3-1,60
#16-2-1,4
#16-3-1,13
#16-6-1,1
#2-1-1,24
#3-1-1,18
#3-12-1,6
#3-13-1,18
#3-2-1,27
#3-4-1,18
#3-5-1,18
#3-6-1,18
#3-7-1,18
#3-8-1,11
#4-1-1,165
#4-2-1,75
#6-2-1,1
#7-2-1,60
#8-1-1,66
#8-3-1,18
#8-4-1,27
#8-5-1,1
#9-2-1,1
#9-4-1,3
#9-5-1,13
