Value,Disaggregation combinations using this value,Number of indicators
Pillar 1 - Data Use,1,1
Pillar 2 - Data Services,1,1
Pillar 3 - Data Products,1,1
Pillar 4 - Data Sources,1,1
Pillar 5 - Data Infrastructure,1,1
