Indicator,Disaggregation combinations using this value
#11-7-1,66
#3-1-1,66
#3-10-1,100
#3-13-1,66
#3-3-1,16
#3-4-1,66
#3-5-1,66
#3-6-1,66
#3-7-1,66
#4-1-1,770
#8-1-1,242
#8-3-1,84
#8-4-1,99
