Value,Disaggregation combinations using this value,Number of indicators
data.All children,167,1
data.Both sexes,2438,16
data.Female,699,4
data.Females,1773,13
data.Male,699,4
data.Males,1773,13
data.Men,4,2
data.Women,4,2
