Value,Disaggregation combinations using this value,Number of indicators
Large enterprises (250 and more employees),256,1
Medium-sized enterprises (100 to 249 employees),256,1
Small enterprises (20 to 99 employees),256,1
"Total, all enterprise sizes",1751,1
