Value,Disaggregation combinations using this value,Number of indicators
data.Air Quality,4,1
data.Biodiversity,3,1
data.Crime severity index,14,1
data.Soil Quality,4,1
data.Violent crime severity index,14,1
data.Water Quality,5,1
data.Youth crime severity index,14,1
data.Youth violent crime severity index,14,1
