Value,Disaggregation combinations using this value,Number of indicators
Active transportation assets,140,1
Bridges and tunnels,154,1
"Culture, recreation and sports facilities",154,1
Potable water assets,154,1
Public transit assets,154,1
Roads,154,1
Shelters and homeless services assets,140,1
Social and affordable housing,154,1
Solid waste assets,154,1
Stormwater assets,154,1
Wastewater assets,154,1
