Value,Disaggregation combinations using this value,Number of indicators
data.Child pornography,1,1
data.Criminal harassment,1,1
data.Extortion,1,1
data.Fraud,1,1
data.Identity fraud,1,1
data.Identity theft,1,1
data.Indecent/Harassing communications,1,1
data.Luring a child via a computer,1,1
data.Making or distribution of child pornography,1,1
data.Non-consensual distribution of intimate images,1,1
data.Uttering threats,1,1
