Indicator,Disaggregation combinations using this value
#11-4-1,1
#11-5-1,2
#13-1-1,8
#13-3-1,48
#16-2-1,4
#16-3-1,13
#16-6-1,1
#2-1-1,24
#3-12-1,2
#3-8-1,11
#4-1-1,165
#4-2-1,72
#6-2-1,1
#7-2-1,37
#8-1-1,1
#8-3-1,18
#8-5-1,1
#9-4-1,3
#9-5-1,13
