Value,Disaggregation combinations using this value,Number of indicators
Born in Canada,66,1
Immigrant,23,1
"Immigrants, landed 5 or less years earlier",66,1
"Immigrants, landed more than 10 years earlier",66,1
"Immigrants, landed more than 5 to 10 years earlier",66,1
Landed immigrants,66,1
Non-immigrant,35,1
