Value,Disaggregation combinations using this value,Number of indicators
data.15 to 24 years,10,1
data.25 to 64 years,10,1
data.65 years and over,10,1
data.Immigrants,10,1
data.Men+,10,1
data.Non-immigrants,10,1
"data.Total, 15 years and over",10,1
data.Women+,10,1
