Value,Disaggregation combinations using this value,Number of indicators
"data.Immigrants, landed 5 or less years earlier",16,1
"data.Immigrants, landed more than 10 years earlier",16,1
"data.Immigrants, landed more than 5 to 10 years earlier",16,1
data.Indigenous population,120,1
data.Landed immigrants,16,1
data.Total population,728,1
