Value,Disaggregation combinations using this value,Number of indicators
data.Administration of justice,700,1
data.Crimes against property,700,1
data.Crimes against the person,700,1
data.Criminal Code traffic,700,1
data.Total Criminal Code,700,1
data.Total offences,698,1
