Indicator,Disaggregation combinations using this value
#11-7-1,33
#3-1-1,33
#3-14-1,33
#3-15-1,3
#3-6-1,42
#3-7-1,42
#3-8-1,42
#5-4-1,90
#8-1-1,33
#8-2-1,33
#8-4-1,33
