Value,Disaggregation combinations using this value,Number of indicators
data.All municipalities,56,1
data.All rural municipalities,56,1
data.All urban municipalities,56,1
"data.Rural municipalities, population 1 to 4,999",56,1
"data.Rural municipalities, population 5,000 or more",56,1
"data.Urban municipalities, population 1 to 4,999",56,1
"data.Urban municipalities, population 30,000 or more",56,1
"data.Urban municipalities, population 5,000 to 29,999",56,1
