Indicator,Disaggregation combinations using this value
#11-7-1,76
#3-11-1,100
#3-14-1,54
#3-6-1,76
#3-8-1,76
#4-2-1,377
#5-4-1,240
#8-1-1,348
#8-3-1,83
#8-4-1,98
