Indicator,Disaggregation combinations using this value
#10-2-1,1
#3-1-1,18
#3-13-1,1
#3-15-1,3
#3-4-1,5
#3-7-1,21
#3-9-1,15
#4-3-1,1
#5-2-1,104
#8-2-1,244
#9-6-1,7
#9-7-1,58
