Indicator,Disaggregation combinations using this value
#10-2-1,1
#11-2-1,12
#11-4-1,1
#12-4-1,8
#13-4-1,1
#3-13-1,1
#3-2-1,1
#3-4-1,5
#3-9-1,15
#4-3-1,1
#8-2-1,1
#9-6-1,3
#9-7-1,56
