Value,Disaggregation combinations using this value,Number of indicators
data.Hydraulic turbine,14,1
data.Nuclear steam turbine,4,1
data.Solar,14,1
data.Tidal power turbine,6,1
data.Total electricity production from biomass,14,1
data.Total renewable and non-greenhouse gas emitting sources,13,1
data.Wind power turbine,14,1
