Value,Disaggregation combinations using this value,Number of indicators
data.Banks,8,1
data.Canadian media,8,1
data.Federal Parliament,8,1
data.Justice system and courts,8,1
data.Local merchants and business people,8,1
data.Major corporations,8,1
data.Police,28,1
data.School system,8,1
