Indicator,Disaggregation combinations using this value
#1-1-1,34
#1-4-1,20
#10-2-1,1
#11-2-1,42
#11-4-1,54
#11-5-1,9
#11-7-1,26
#12-2-1,25
#12-3-1,54
#12-4-1,8
#13-1-1,8
#13-3-1,119
#13-4-1,1
#15-4-1,1
#16-3-1,1
#2-1-1,348
#3-1-1,23
#3-13-1,3
#3-14-1,23
#3-15-1,3
#3-2-1,1
#3-4-1,5
#3-6-1,23
#3-7-1,23
#3-8-1,23
#3-9-1,12
#4-1-1,225
#4-2-1,74
#4-3-1,1
#5-5-1,132
#6-2-1,3
#7-2-1,6
#8-1-1,76
#8-2-1,76
#8-4-1,27
#9-3-1,4
#9-6-1,3
#9-7-1,58
