Value,Disaggregation combinations using this value,Number of indicators
data.15 to 24 year old women,1,1
"data.First Nations, Métis, or Inuit women",1,1
data.Immigrant women,1,1
data.LGBTQ2 women,1,1
data.Separated or divorced women,1,1
data.Single women,1,1
"data.Total, all women",4,1
data.Women designated as visible minorities,1,1
data.Women with disability,1,1
