Value,Disaggregation combinations using this value,Number of indicators
data.All materials diverted,35,1
data.All paper fibres,36,1
"data.Construction, renovation and demolition",36,1
data.Copper and aluminum,36,1
data.Electronics,36,1
data.Ferrous metals,36,1
data.Gable top and aseptic containers,36,1
data.Glass,36,1
data.Mixed metals,36,1
data.Organics,36,1
data.Other materials,36,1
data.Plastics,36,1
data.Textiles,36,1
data.Tires,36,1
data.White goods,36,1
