Value,Disaggregation combinations using this value,Number of indicators
Female,1,1
Females,770,1
Male,1,1
Males,770,1
Men+,3089,8
"Total, all persons",48,1
Total - Gender,1983,5
"Total, gender",1025,1
Total,769,1
Women+,3089,8
