Value,Disaggregation combinations using this value,Number of indicators
data.Africa,2,1
data.All regions,2,1
data.America,2,1
data.Asia,2,1
data.Europe,2,1
data.Global,2,1
data.Middle East,2,1
data.Oceania,2,1
