Value,Disaggregation combinations using this value,Number of indicators
data.Agriculture,14,1
data.Buildings,15,1
data.Coal Production,6,1
data.Electricity,15,1
data.Heavy Industry,15,1
"data.Light Manufacturing, Construction and Forest Resources",15,1
data.Oil and Gas,15,1
data.Provincial Inventory Total,10,1
data.Territorial Inventory Total,4,1
data.Transport,15,1
data.Waste,15,1
