Value,Disaggregation combinations using this value,Number of indicators
Greater than 12 months to 24 months,33,1
Greater than 24 months,33,1
Greater than 3 months to 6 months,33,1
Greater than 6 months to 12 months,33,1
Less than or equal to 3 months,33,1
Unknown,33,1
