Value,Disaggregation combinations using this value,Number of indicators
data.Agriculture,126,1
data.Commercial and other institutional,148,1
data.Energy use - final demand,194,1
data.Public administration,122,1
data.Residential,143,1
data.Total industrial,194,1
data.Total transportation,120,1
