Value,Disaggregation combinations using this value,Number of indicators
First Nations reserves areas Rural areas,13,1
First Nations reserves areas Urban centres,8,1
First Nations reserves areas,1,1
Rural areas,14,1
Total population centre,13,1
Urban centres,14,1
